Generation,Best_Makespan,Best_Energy,Best_Reliability,Action,Reward,State_Div,State_Imp,State_HV,Hypervolume
0,1782.6107532607502,1184552.0791624687,-265.7025478391053,Exploit,75.24607261070064,High,Fast,Flat,1442852135828.1973
1,1782.6107532607502,1184552.0791624687,-265.7025478391053,Exploit,-0.9049710019220046,High,Fast,Rise,1579964928670.6465
2,1782.6107532607502,1184552.0791624687,-265.7025478391053,Balanced,-0.9346462458492295,High,Stagnant,Rise,1683221568185.8276
3,1779.9044040544013,1182119.8780340455,-215.5989440800866,Explore,7.794493896235126,High,Stagnant,Rise,1831588611323.3213
4,1768.2489206489176,1171362.8330040704,-210.65596193722948,Exploit,16.786318051081345,High,Slow,Rise,2071223858166.5527
5,1768.2489206489176,1171355.2577924542,-210.65118415945173,Exploit,-0.8381778381461018,High,Slow,Rise,2406393780578.436
6,1727.6594545594517,1133943.4808444458,-275.3538795202021,Explore,45.62548748406737,High,Stagnant,Rise,2493075440514.964
7,1727.6594545594517,1133943.4808444458,-275.3538795202021,Balanced,-0.8988268128747399,High,Fast,Rise,2745307828575.5747
8,1726.0494256994227,1132778.418125467,-195.45750834054837,Explore,6.586184938091401,High,Stagnant,Rise,2679848923016.524
9,1700.8412727412697,1109183.0817939946,-240.11149546897553,Balanced,30.211883887741504,High,Slow,Flat,2689847250655.995
10,1700.8412727412697,1109183.0817939946,-240.11149546897553,Explore,-1.0178853715769443,High,Fast,Rise,2641738333092.7905
11,1699.748199148196,1108551.1348607477,-230.2070568109669,Explore,6.1333559676112985,High,Stagnant,Flat,2748153826056.585
12,1699.748199148196,1108551.1348607477,-230.2070568109669,Exploit,-1.0042396080190132,High,Slow,Rise,2736502731058.154
13,1699.748199148196,1108551.1348607477,-230.2070568109669,Explore,-0.979102185922506,High,Stagnant,Flat,2793689656354.362
14,1680.8412727412697,1090758.1908486772,-245.04747245310253,Exploit,23.98565011358656,High,Stagnant,Rise,3013619261361.192
15,1667.9401183401153,1078923.047158046,-249.94079784992792,Exploit,17.931289048038035,High,Slow,Rise,3104433613644.1143
16,1657.9401183401153,1069689.5739023858,-249.81019344516602,Exploit,14.997793189428487,High,Slow,Rise,3097582716726.9624
17,1639.1931847181818,1052524.5761304414,-230.01665783910542,Balanced,23.771944272279153,High,Slow,Flat,3175055274971.6973
18,1639.1931847181818,1052524.5761304414,-230.01665783910542,Exploit,-0.9651359139972681,High,Slow,Rise,3285750675141.7383
19,1639.1931847181818,1052524.5761304414,-230.01665783910542,Explore,-1.0,High,Stagnant,Rise,3285750675141.7383
20,1639.1931847181818,1052524.5761304414,-230.01665783910542,Explore,-0.9969867818194642,High,Stagnant,Flat,3295651358812.783
21,1639.1931847181818,1052524.5761304414,-230.01665783910542,Explore,-1.006184310090282,High,Stagnant,Rise,3275270028860.4253
22,1639.1931847181818,1052524.5761304414,-230.01665783910542,Balanced,-0.9820470864301061,High,Stagnant,Flat,3334070668606.6206
23,1639.1931847181818,1052524.5761304414,-230.01665783910542,Explore,-1.0011972181851756,High,Stagnant,Rise,3330079058571.504
24,1639.1931847181818,1052524.5761304414,-230.01665783910542,Exploit,-0.9632835030711471,High,Stagnant,Flat,3452347896098.382
