Generation,Best_Makespan,Best_Energy,Best_Reliability,Hypervolume
0,923.6592741842715,391274.00797711546,-131.51237175685426,120990725234.67632
1,913.0647575897551,381547.32966007374,-171.3371835894661,137141319744.54341
2,900.9653708653683,370391.4342937967,-161.29104620490625,146193305079.39078
3,899.5443751943726,369112.8573104489,-151.4129397799423,151978268741.58914
4,895.429656579654,365400.64651630755,-131.4234951659451,162107685414.17023
5,885.5450966950939,356299.2326101457,-151.409670566378,169677834872.39594
6,881.1327590327564,352138.25598490424,-161.3273714141414,172141571748.68533
7,881.1327590327564,352138.25598490424,-161.3273714141414,176445997007.32037
8,878.2114026114,349473.0425800737,-116.32577566738823,187042187841.84647
9,878.2114026114,349473.0425800737,-116.32577566738823,192566916940.38223
10,873.7364747614722,345386.04931637604,-126.36322667748922,200755900400.19125
11,873.7364747614722,345386.04931637604,-126.36322667748922,209672721219.4075
12,873.7364747614722,345386.04931637604,-126.36322667748922,215996204756.72635
13,868.0817128567103,340195.53220895905,-126.33467699494955,223191468382.60962
14,868.0817128567103,340195.53220895905,-126.33467699494955,227972121401.18985
15,856.6939062189034,329793.0389521839,-101.26515000000005,238709333807.10153
16,856.6939062189034,329793.0389521839,-101.26515000000005,254819512992.83698
17,856.6939062189034,329793.0389521839,-101.26515000000005,264680226993.66754
18,856.6939062189034,329793.0389521839,-101.26515000000005,279601571939.465
19,856.6939062189034,329793.0389521839,-101.26515000000005,294094780135.0712
20,856.6939062189034,329793.0389521839,-101.26515000000005,303628345789.4345
21,856.6939062189034,329793.0389521839,-101.26515000000005,310664961112.8546
22,855.3795122795096,328504.3407366682,-121.1825493253968,311406807758.61584
23,853.8932207932181,327234.4324781653,-101.27547169913423,317221995132.8045
24,849.8636392636366,323574.5766236163,-96.15633400432898,320420012373.41064
25,849.8636392636366,323574.5766236163,-96.15633400432898,317946842894.35236
26,849.8636392636366,323574.5766236163,-96.15633400432898,335673652582.0665
27,848.4972972722944,322250.441468342,-91.23612161616163,339735127532.28253
28,841.7684011683984,316127.77174007724,-101.06738519480517,347292726535.8982
29,841.7684011683984,316127.77174007724,-101.06738519480517,349207224450.5761
30,841.7684011683984,316127.77174007724,-101.06738519480517,351913729601.54553
31,841.7684011683984,316127.77174007724,-101.06738519480517,353689174439.5825
32,841.7684011683984,316127.77174007724,-101.06738519480517,350999855968.7251
33,841.7684011683984,316127.77174007724,-101.06738519480517,347678564515.9724
34,841.5898297398271,315908.9465080427,-116.07989359307359,352343758283.7021
35,841.5898297398271,315908.9465080427,-116.07989359307359,353105926273.09814
36,840.2406233906206,314733.26925951446,-126.11101491702746,354743077862.6858
37,837.9687979937952,312533.93632391555,-91.17063883116876,354006661761.97064
38,837.9687979937952,312533.93632391555,-91.17063883116876,363504993290.8939
39,837.9687979937952,312533.93632391555,-91.17063883116876,370495196781.7502
40,835.671178946176,310501.7949322055,-101.03198900432895,374030749239.3598
41,835.671178946176,310501.7949322055,-101.03198900432895,376407402816.02966
42,833.0184011683984,308071.4851765815,-106.06060832251084,379123717907.4567
43,824.4583362333335,300129.4887487425,-106.05792264430012,381389102743.55133
44,824.4583362333335,300129.4887487425,-106.05792264430012,382429302014.27057
45,824.4583362333335,300129.4887487425,-106.05792264430012,383661561337.5151
46,824.4583362333335,300129.4887487425,-106.05792264430012,383178278945.234
47,824.4583362333335,300129.4887487425,-106.05792264430012,384397582390.82196
48,824.4583362333335,300129.4887487425,-106.05792264430012,382659469945.506
49,824.4583362333335,300129.4887487425,-106.05792264430012,382337882640.50836
