mode,seed,igd
RL-AOS-GA,0,0.13977568421465383
RL-AOS-GA,1,0.15693257268878982
RL-AOS-GA,2,0.26262520456762084
RL-AOS-GA,3,0.2705436707171141
RL-AOS-GA,4,0.22392166035267963
RL-AOS-GA,5,0.09213398936280713
RL-AOS-GA,6,0.14235430282544512
RL-AOS-GA,7,0.3368334419014502
RL-AOS-GA,8,0.21862380680950247
RL-AOS-GA,9,0.21979505429041152
Static NSGA-II,0,0.2010807663605279
Static NSGA-II,1,0.36952741929233335
Static NSGA-II,2,0.27490790288767647
Static NSGA-II,3,0.1107223656456138
Static NSGA-II,4,0.2074465774844842
Static NSGA-II,5,0.19855389646530175
Static NSGA-II,6,0.2245074748615508
Static NSGA-II,7,0.09251607488928511
Static NSGA-II,8,0.0686291948547909
Static NSGA-II,9,0.041005338992794
