mode,seed,elapsed_s,generations,pop_size,instance
RL (No HV Reward),0,49.542239499998686,50,30,ta02
RL (No HV Reward),1,49.517284624998865,50,30,ta02
RL (No HV Reward),2,49.36717837500328,50,30,ta02
RL (No HV Reward),3,49.28697700000339,50,30,ta02
RL (No HV Reward),4,49.36653020799713,50,30,ta02
RL (No HV Reward),5,49.322333542004344,50,30,ta02
RL (No HV Reward),6,49.52645641699928,50,30,ta02
RL (No HV Reward),7,49.41832104200148,50,30,ta02
RL (No HV Reward),8,49.41233808299876,50,30,ta02
RL (No HV Reward),9,49.37758508299885,50,30,ta02
RL (No HV Reward),10,49.26787745799811,50,30,ta02
RL (No HV Reward),11,49.278216042002896,50,30,ta02
RL (Random Operator),0,53.32319654100138,50,30,ta02
RL (Random Operator),1,53.13071537500218,50,30,ta02
RL (Random Operator),2,53.27731608400063,50,30,ta02
RL (Random Operator),3,52.5650608750002,50,30,ta02
RL (Random Operator),4,49.358792917002575,50,30,ta02
RL (Random Operator),5,49.364871167003,50,30,ta02
RL (Random Operator),6,49.475333791000594,50,30,ta02
RL (Random Operator),7,49.34841425000195,50,30,ta02
RL (Random Operator),8,49.71012908299599,50,30,ta02
RL (Random Operator),9,50.10052200000064,50,30,ta02
RL (Random Operator),10,49.47768983300193,50,30,ta02
RL (Random Operator),11,49.53359499999351,50,30,ta02
RL-AOS-GA,0,52.86045320899575,50,30,ta02
RL-AOS-GA,1,53.0370034170046,50,30,ta02
RL-AOS-GA,2,52.97448816600081,50,30,ta02
RL-AOS-GA,3,52.88663920799445,50,30,ta02
RL-AOS-GA,4,53.46446920900053,50,30,ta02
RL-AOS-GA,5,53.355139958999644,50,30,ta02
RL-AOS-GA,6,53.6014510419991,50,30,ta02
RL-AOS-GA,7,53.63141229200119,50,30,ta02
RL-AOS-GA,8,53.48446300000069,50,30,ta02
RL-AOS-GA,9,53.62865020800382,50,30,ta02
RL-AOS-GA,10,53.4917817500027,50,30,ta02
RL-AOS-GA,11,53.44887366599869,50,30,ta02
Static NSGA-II,0,53.724277082998015,50,30,ta02
Static NSGA-II,1,53.28124583399767,50,30,ta02
Static NSGA-II,2,53.078049499999906,50,30,ta02
Static NSGA-II,3,53.12605712500226,50,30,ta02
Static NSGA-II,4,53.1863807080008,50,30,ta02
Static NSGA-II,5,53.108168375001696,50,30,ta02
Static NSGA-II,6,53.00413866699819,50,30,ta02
Static NSGA-II,7,53.00929558399366,50,30,ta02
Static NSGA-II,8,52.94887441699393,50,30,ta02
Static NSGA-II,9,53.09109266700398,50,30,ta02
Static NSGA-II,10,53.05645229199581,50,30,ta02
Static NSGA-II,11,53.15289616699738,50,30,ta02
