mode,seed,igd
RL (No HV Reward),0,0.35863405899435546
RL (No HV Reward),1,0.11868552247247977
RL (No HV Reward),2,0.238734077806065
RL (No HV Reward),3,0.08165037555987578
RL (No HV Reward),4,0.05472706976210887
RL (No HV Reward),5,0.3025713908061803
RL (No HV Reward),6,0.26742462728329713
RL (No HV Reward),7,0.21141788592209262
RL (No HV Reward),8,0.3693246839657564
RL (No HV Reward),9,0.153145573031982
RL (No HV Reward),10,0.18788648016094858
RL (No HV Reward),11,0.2554168570978178
RL (Random Operator),0,0.3947628105813457
RL (Random Operator),1,0.24280958477109857
RL (Random Operator),2,0.11517819239165838
RL (Random Operator),3,0.3187878857011226
RL (Random Operator),4,0.3667872940584997
RL (Random Operator),5,0.39816237660410075
RL (Random Operator),6,0.2702297157850712
RL (Random Operator),7,0.34187029288674525
RL (Random Operator),8,0.24753387956567488
RL (Random Operator),9,0.1542732723193502
RL (Random Operator),10,0.2255247921071787
RL (Random Operator),11,0.17941100151908715
RL-AOS-GA,0,0.11036457415538414
RL-AOS-GA,1,0.11868552247247977
RL-AOS-GA,2,0.238734077806065
RL-AOS-GA,3,0.20859034693028566
RL-AOS-GA,4,0.15486164917341966
RL-AOS-GA,5,0.31914403619480153
RL-AOS-GA,6,0.20488538057580702
RL-AOS-GA,7,0.15416800281984927
RL-AOS-GA,8,0.3550270878577947
RL-AOS-GA,9,0.2306568144701454
RL-AOS-GA,10,0.29513357866685264
RL-AOS-GA,11,0.22474896250101561
Static NSGA-II,0,0.09744208413985225
Static NSGA-II,1,0.12063533213522355
Static NSGA-II,2,0.20316058934443001
Static NSGA-II,3,0.09280804025126749
Static NSGA-II,4,0.04374363383541079
Static NSGA-II,5,0.05863510832557397
Static NSGA-II,6,0.0879034594938324
Static NSGA-II,7,0.16907840829097323
Static NSGA-II,8,0.08341700577898195
Static NSGA-II,9,0.12336960903018372
Static NSGA-II,10,0.10386607606217212
Static NSGA-II,11,0.1448749426109913
