Generation,Best_Makespan,Best_Energy,Best_Reliability,Action,Reward,State_Div,State_Imp,State_HV,Hypervolume
0,1865.5149740399722,1260982.228816514,-225.20876828643586,Balanced,59.53625541125416,High,Fast,Flat,2023136196025.3887
1,1820.0512294512268,1218973.367969327,-245.2648478318904,Exploit,50.463744588745385,High,Fast,Flat,2465724733407.9204
2,1820.0512294512268,1218973.367969327,-245.2648478318904,Balanced,-1.0,High,Fast,Flat,2697490716701.5713
3,1799.4733073733048,1200041.4200777106,-240.98220141774902,Explore,25.57792207792204,High,Stagnant,Flat,2868665509296.0786
4,1700.7812078062054,1109155.7341778842,-219.8283788852814,Balanced,103.69209956709938,High,Fast,Flat,3120480026395.8784
5,1700.7812078062054,1109155.7341778842,-219.8283788852814,Balanced,-1.0,High,Fast,Flat,3329430767186.6514
6,1700.7812078062054,1109155.7341778842,-219.8283788852814,Explore,-1.0,High,Stagnant,Flat,3401954875424.583
7,1700.7812078062054,1109155.7341778842,-219.8283788852814,Explore,-1.0,High,Stagnant,Flat,3496340165777.515
8,1700.7812078062054,1109155.7341778842,-219.8283788852814,Explore,-1.0,High,Stagnant,Flat,3539893891208.324
9,1685.8948441698408,1095837.8085204447,-219.75460908369402,Explore,19.88636363636465,High,Stagnant,Flat,3591520937402.656
10,1685.8948441698408,1095837.8085204447,-219.75460908369402,Explore,-1.0,High,Slow,Flat,3680225375947.3804
11,1685.8948441698408,1095837.8085204447,-219.75460908369402,Explore,-1.0,High,Stagnant,Flat,3660220821398.9473
12,1685.8948441698408,1095837.8085204447,-219.75460908369402,Explore,-1.0,High,Stagnant,Flat,3668804472045.981
13,1604.3055584555557,1020669.7642658529,-204.65421392496393,Balanced,86.5892857142851,High,Stagnant,Flat,3874464445880.081
14,1584.7243896243865,1002749.9493184787,-189.6154084848485,Balanced,24.58116883116918,High,Fast,Flat,4231132742337.83
15,1584.7243896243865,1002749.9493184787,-189.6154084848485,Balanced,-1.0,High,Slow,Flat,4769928865456.871
16,1584.7243896243865,1002749.9493184787,-189.6154084848485,Balanced,-1.0,High,Stagnant,Flat,5346564972311.529
17,1576.373379523376,995002.8123170496,-154.05561572150074,Balanced,13.351010101010615,High,Stagnant,Flat,5833845722950.505
18,1576.373379523376,995002.8123170496,-154.05561572150074,Exploit,-1.0,High,Slow,Flat,6218258730106.556
19,1562.7514459014426,982398.651598677,-189.07763417388168,Balanced,18.621933621933294,High,Stagnant,Flat,6293691535722.063
20,1562.7514459014426,982398.651598677,-189.07763417388168,Balanced,-1.0,High,Slow,Flat,6350354387791.3545
21,1562.7514459014426,982398.651598677,-189.07763417388168,Balanced,-1.0,High,Stagnant,Flat,6380180242976.745
22,1552.7514459014426,973201.6093134678,-199.2155209632034,Balanced,15.0,High,Stagnant,Flat,6510582116871.462
23,1552.7514459014426,973201.6093134678,-199.2155209632034,Explore,-1.0,High,Slow,Flat,6510582116871.462
24,1552.7514459014426,973201.6093134678,-199.2155209632034,Balanced,-1.0,High,Stagnant,Flat,6596521973435.966
25,1552.7514459014426,973201.6093134678,-199.2155209632034,Balanced,-1.0,High,Stagnant,Flat,6713601373142.525
26,1552.7514459014426,973201.6093134678,-199.2155209632034,Balanced,-1.0,High,Stagnant,Flat,6783170784652.557
27,1510.302492077489,934353.8977194059,-208.82306351731603,Balanced,47.448953823953616,High,Stagnant,Flat,6900339021403.41
28,1509.525976925974,933809.595689323,-198.88786784271284,Balanced,5.776515151515014,High,Fast,Flat,7032953185046.893
29,1509.525976925974,933809.595689323,-198.88786784271284,Exploit,-1.0,High,Slow,Flat,7125374856462.34
30,1509.525976925974,933861.3257465957,-188.85608943362195,Exploit,-1.0,High,Stagnant,Flat,7234169580426.076
31,1509.525976925974,933861.3257465957,-188.85608943362195,Balanced,-1.0,High,Stagnant,Flat,7228691295791.641
32,1507.9181125681093,932434.9799760688,-193.7905061002886,Exploit,6.607864357864628,High,Stagnant,Flat,7305215638788.832
33,1474.727997127994,901688.4183220287,-183.69969807720057,Balanced,38.19011544011528,High,Slow,Flat,7366899005890.729
34,1474.727997127994,901688.4183220287,-183.69969807720057,Balanced,-1.0,High,Fast,Flat,7371072988834.307
35,1474.727997127994,901688.4183220287,-183.69969807720057,Balanced,-1.0,High,Stagnant,Flat,7412448373584.8955
36,1474.727997127994,901688.4183220287,-183.69969807720057,Exploit,-1.0,High,Stagnant,Flat,7470286841007.312
37,1474.727997127994,901688.4183220287,-183.69969807720057,Balanced,-1.0,High,Stagnant,Flat,7500888386341.966
38,1474.727997127994,901688.4183220287,-183.69969807720057,Balanced,-1.0,High,Stagnant,Flat,7503481775558.448
39,1474.727997127994,901688.4183220287,-183.69969807720057,Balanced,-1.0,High,Stagnant,Flat,7570395167641.919
40,1474.727997127994,901688.4183220287,-183.69969807720057,Exploit,-1.0,High,Stagnant,Flat,7647021903682.11
41,1474.727997127994,901688.4183220287,-183.69969807720057,Balanced,-1.0,High,Stagnant,Flat,7660783724433.196
42,1474.727997127994,901688.4183220287,-183.69969807720057,Balanced,-1.0,High,Stagnant,Flat,7667389460650.686
43,1472.9255079505047,900123.981515993,-188.66679880952378,Balanced,6.802489177489406,High,Stagnant,Flat,7796757535938.478
44,1472.9255079505047,900123.981515993,-188.66679880952378,Balanced,-1.0,High,Slow,Flat,7831416620423.896
45,1472.9255079505047,900123.981515993,-188.66679880952378,Exploit,-1.0,High,Stagnant,Flat,7860774575723.641
46,1472.9255079505047,900123.981515993,-188.66679880952378,Balanced,-1.0,High,Stagnant,Flat,7943114488454.509
47,1472.9255079505047,900123.981515993,-188.66679880952378,Balanced,-1.0,High,Stagnant,Flat,7969533895628.687
48,1472.9255079505047,900123.981515993,-188.66679880952378,Balanced,-1.0,High,Stagnant,Flat,8012509697969.593
