Makespan,Energy,Reliability
858.2319653819627,331083.50157849357,-71.1996582106782
837.6574704324676,312151.5107268773,-86.11679620851366
879.528141428139,350745.5788234071,-61.226827536074985
837.6500750500722,312139.74572658876,-86.12862557359303
838.9271313271286,313310.5084973823,-86.10121908730159
836.4536464786438,311000.5022889769,-91.11425329365078
837.524533924531,312016.03768166085,-91.10603003607505
849.9033218033189,323416.24278426537,-81.12084836219333
840.990803765801,315170.44250422216,-81.13319878787877
862.1195916445888,334657.5405933924,-76.15971477994226
839.1031775031747,313455.47687622794,-86.11543688311684
836.4536464786438,311004.0277400556,-91.12088229076477
838.9271313271286,313296.235229352,-91.11536908730159
862.119050519048,334680.014018389,-81.1248639285714
843.2128456128428,317249.60759306775,-86.09964768759014
854.0873044873017,327291.27260126406,-81.14658817099568
844.8663448913421,318780.26497148053,-81.15464514430013
867.8095267095239,339890.2217991897,-76.16123391774892
842.6971529721502,316785.9239428441,-86.15302567099565
841.4769148769121,315636.38963485707,-91.1128413095238
836.4536464786438,311064.2077852071,-96.11575527777778
837.6500750500722,312128.71908006276,-96.09773297619047
837.6500750500722,312134.3108731508,-96.08411181457429
841.2155512405485,315418.41825031897,-91.138514484127
848.0508687008661,321697.04678278655,-81.164985515873
845.1984155984128,319076.51437697106,-86.11611408369407
868.2229466229439,340327.24490131467,-76.21342432539679
837.5039711539682,312012.2459923569,-111.1102048809524
864.403321903319,336736.4981731465,-81.16685702741701
847.6327590327562,321365.72719254834,-91.10215979797978
