Generation,Best_Makespan,Best_Energy,Best_Reliability,Hypervolume
0,770.9090938090908,250057.33880607257,-110.87098138528135,39911627006.642
1,770.9090938090908,250057.33880607257,-110.87098138528135,41750919000.05753
2,763.8522756272725,243554.16873889003,-115.7420493686869,47692327594.123116
3,763.8522756272725,243554.16873889003,-115.7420493686869,52571340635.77976
4,760.076481976479,240046.5185569204,-135.68079765512263,54719161751.72049
5,753.1230187730157,233635.52910192753,-105.6884922799423,58247482702.11745
6,753.1230187730157,233635.52910192753,-105.6884922799423,60807898133.35857
7,753.1230187730157,233635.52910192753,-105.6884922799423,62087979004.86545
8,753.1230187730157,233633.09442331284,-90.68834282106778,66650264521.29881
9,753.1230187730157,233633.09442331284,-90.68834282106778,68444725080.73618
10,751.1280692780663,231805.71165694564,-110.73298318903325,70010280704.80133
11,750.6401544151513,231382.377645618,-110.72608279220782,74481764569.87064
12,750.6401544151513,231382.377645618,-110.72608279220782,75836239884.86693
13,750.3490288740257,231101.22852021395,-120.69978493867247,74788452150.15578
14,744.5864026113995,225796.57866558197,-120.74307734487739,73444412167.76572
15,744.5864026113995,225796.57866558197,-120.74307734487739,74403000944.95105
16,743.8306306056276,225104.55414949975,-105.6788003066378,80133602270.37074
17,743.8306306056276,225104.55414949975,-105.6788003066378,82498791823.86526
18,743.8306306056276,225104.55414949975,-105.6788003066378,83917291497.60635
19,743.34145311645,224629.5540158994,-110.7367203463204,84649922963.5292
20,743.1401544151513,224462.77605016704,-125.69711181457437,83598889195.97964
21,740.9972972722942,222486.08185787627,-120.67034781746035,84007503247.35248
22,740.9972972722942,222486.08185787627,-120.67034781746035,82525792302.75706
23,739.8263016012985,221400.2725919167,-135.65118170995675,83792609249.72388
24,739.8263016012985,221400.2725919167,-135.65118170995675,85774995441.38678
25,739.5647575897545,221153.7960250553,-130.63822590187596,83076757669.22289
26,739.5647575897545,221153.7960250553,-130.63822590187596,83209242668.8698
27,733.8526363776333,215903.47629610865,-135.69658106060606,83818434584.9577
28,733.8526363776333,215903.47629610865,-135.69658106060606,85408831962.1686
29,732.4258687008656,214573.22859377819,-120.63236607142855,85542613184.35971
30,732.4258687008656,214573.22859377819,-120.63236607142855,84603908175.16415
31,732.4258687008656,214573.22859377819,-120.63236607142855,85883452356.26038
32,732.4258687008656,214573.22859377819,-120.63236607142855,88348520160.48694
33,732.4258687008656,214573.22859377819,-120.63236607142855,89668204408.04738
34,732.1282496532466,214306.20163798452,-115.61824554473309,91822339616.89008
35,732.1282496532466,214306.20163798452,-115.61824554473309,93001155147.96422
36,732.1282496532466,214306.20163798452,-115.61824554473309,93621178807.57803
37,732.1282496532466,214306.20163798452,-115.61824554473309,93521861906.79793
38,732.1282496532466,214306.20163798452,-115.61824554473309,94591553389.4369
39,727.2162727412697,209834.6140481324,-95.62438733766233,95137434539.8401
40,727.2162727412697,209834.6140481324,-95.62438733766233,97583941346.87624
41,727.2162727412697,209834.6140481324,-95.62438733766233,97216005013.0259
42,727.2162727412697,209834.6140481324,-95.62438733766233,99425583830.0829
43,727.2162727412697,209834.6140481324,-95.62438733766233,102450137073.40732
44,722.9224415724385,205873.69479095712,-110.611853517316,102092057992.88391
45,722.9224415724385,205873.69479095712,-110.611853517316,103331718866.52435
46,722.9224415724385,205873.69479095712,-110.611853517316,104651588991.80853
47,722.9224415724385,205873.69479095712,-110.611853517316,105095785703.70497
48,722.9224415724385,205873.69479095712,-110.611853517316,105113139391.88445
49,722.9224415724385,205873.69479095712,-110.611853517316,106070949571.13574
