Generation,Best_Makespan,Best_Energy,Best_Reliability,Action,Reward,State_Div,State_Imp,State_HV,Hypervolume
0,1793.6082280082253,1194883.422958003,-235.60715775613272,Explore,-0.6472541826261191,High,Fast,Flat,2111422026091.527
1,1783.377347777345,1186033.2843113977,-220.07271127344862,Balanced,15.449079584090441,High,Stagnant,Rise,2572132946538.34
2,1729.6612583112556,1136363.1357334647,-225.41259551948048,Explore,58.78378511693339,High,Slow,Rise,2746255160411.4067
3,1729.606604631602,1136349.7225159358,-240.27427230158733,Exploit,5.1695708259405695,High,Fast,Rise,3061846966422.068
4,1701.0232712982688,1109997.647795395,-235.28232742063494,Exploit,33.68428849116237,High,Stagnant,Rise,3370956210165.7866
5,1701.0232712982688,1109957.977477848,-235.26365559523808,Exploit,-0.9641451955410267,High,Fast,Rise,3491821185921.0425
6,1661.2128456128432,1073125.0893892334,-240.08881621933617,Balanced,44.8536393802154,High,Stagnant,Rise,3642715680910.0933
7,1661.2128456128432,1073125.0893892334,-240.08881621933617,Balanced,-0.9910038392898731,High,Fast,Rise,3675486136596.86
8,1661.2128456128432,1073038.5964960011,-235.09057301226545,Exploit,-0.9226899860092623,High,Stagnant,Rise,3959638021239.9253
9,1661.2128456128432,1073038.5964960011,-235.09057301226545,Explore,-0.9852282514738208,High,Stagnant,Rise,4018128798344.3794
10,1661.2128456128432,1073232.1320699765,-234.93401538961035,Exploit,-0.9631254217676858,High,Stagnant,Rise,4166295603066.444
11,1661.2128456128432,1073232.1320699765,-234.93401538961035,Explore,-0.995395645369925,High,Stagnant,Rise,4185478705516.684
12,1661.2128456128432,1073232.1320699765,-234.93401538961035,Explore,-0.9961313288611678,High,Stagnant,Rise,4201670946186.913
13,1638.8560635060612,1052557.1253398105,-230.04574000721496,Exploit,27.38722461228575,High,Stagnant,Rise,4329580337091.0693
14,1638.8560635060612,1052557.1253398105,-230.04574000721496,Exploit,-0.9657883715353556,High,Fast,Rise,4477702330991.459
15,1638.8560635060612,1052433.9180045186,-229.89029326479076,Exploit,-0.9929043854919669,High,Stagnant,Rise,4509474380613.8955
16,1638.8560635060612,1052433.9180045186,-229.89029326479076,Balanced,-0.9947743051821917,High,Stagnant,Rise,4533039517515.709
17,1638.8560635060612,1052433.9180045186,-229.89029326479076,Exploit,-0.9946454787422092,High,Stagnant,Rise,4557311773974.652
18,1628.8560635060612,1043290.336659789,-234.81015950937945,Exploit,15.024150344291993,High,Stagnant,Rise,4667372422362.095
19,1618.9924271424238,1034228.3637299722,-219.69936369769118,Exploit,14.879730267328776,High,Slow,Rise,4742488664619.392
20,1618.9924271424238,1034228.3637299722,-219.69936369769118,Explore,-0.9967085964787775,High,Slow,Rise,4758098108509.478
21,1617.455991355988,1032961.9065857586,-229.5318795165945,Balanced,6.535953260815172,High,Stagnant,Rise,4755802204266.986
22,1608.9924271424238,1025008.3637299722,-224.69936369769118,Exploit,13.499098240567225,High,Slow,Flat,4924795008214.131
23,1597.455991355988,1014625.7746766676,-234.48107951659452,Exploit,16.556290194701848,High,Slow,Rise,5022573898934.143
24,1597.455991355988,1014625.7746766676,-234.48107951659452,Explore,-1.006268695849599,High,Slow,Rise,4991088910779.59
25,1597.455991355988,1014625.7746766676,-234.48107951659452,Balanced,-1.0052031589747135,High,Stagnant,Flat,4965119481719.874
26,1597.455991355988,1014625.7746766676,-234.48107951659452,Balanced,-1.0044177107382153,High,Stagnant,Flat,4943185020068.958
27,1597.455991355988,1014625.7746766676,-234.48107951659452,Balanced,-0.9944484634714523,High,Stagnant,Flat,4970627292275.24
28,1597.455991355988,1014625.7746766676,-234.48107951659452,Balanced,-1.0016382663540684,High,Stagnant,Rise,4962484080823.691
29,1597.455991355988,1014625.7746766676,-234.48107951659452,Explore,-1.0,High,Stagnant,Flat,4962484080823.691
30,1597.455991355988,1014625.7746766676,-234.48107951659452,Explore,-1.0,High,Stagnant,Flat,4962484080823.691
31,1597.455991355988,1014625.7746766676,-234.48107951659452,Explore,-1.0,High,Stagnant,Flat,4962484080823.691
32,1597.455991355988,1014625.7746766676,-234.48107951659452,Explore,-1.0,High,Stagnant,Flat,4962484080823.691
33,1597.455991355988,1014625.7746766676,-234.48107951659452,Explore,-1.0,High,Stagnant,Flat,4962484080823.691
34,1597.455991355988,1014625.7746766676,-234.48107951659452,Explore,-1.0014030646259289,High,Stagnant,Flat,4955521394953.152
35,1597.455991355988,1014625.7746766676,-234.48107951659452,Explore,-0.9972325189939555,High,Stagnant,Flat,4969235706288.732
36,1597.455991355988,1014625.7746766676,-234.48107951659452,Explore,-1.0080258788301901,High,Stagnant,Rise,4929353222631.405
37,1597.455991355988,1014625.7746766676,-234.48107951659452,Exploit,-0.9849386417107489,High,Stagnant,Flat,5003595977651.731
38,1596.6585526835495,1013935.3106179591,-224.21944221500718,Balanced,5.808713608234809,High,Stagnant,Rise,5060011201049.913
