Generation,Best_Makespan,Best_Energy,Best_Reliability,Action,Reward,State_Div,State_Imp,State_HV,Hypervolume
0,926.8488484988459,394349.0390456364,-116.35521758297257,Balanced,-0.5671726829240863,High,Fast,Flat,139583474950.20682
1,915.7014819764795,383951.2815609432,-151.66124802669555,Exploit,16.33669196444812,High,Stagnant,Rise,166010178052.46017
2,910.5039711539685,379234.4855712245,-106.37548647907649,Balanced,10.335836746824507,High,Slow,Rise,188973689377.00842
3,910.5039711539685,379234.4855712245,-106.37548647907649,Explore,-0.9817136281761619,High,Slow,Rise,192429332525.87888
4,906.3273838523811,375374.13138523593,-121.367719549062,Exploit,9.225294190477989,High,Stagnant,Rise,201801966644.51718
5,902.1652265652239,371557.73040040553,-106.40675352092349,Balanced,9.224036452811832,High,Slow,Rise,214289303967.9354
6,879.5416695666669,350688.88710253034,-111.25176063131308,Balanced,27.67737207601982,High,Slow,Rise,225821299460.42868
7,879.5416695666669,350688.88710253034,-111.25176063131308,Explore,-0.9818267517225907,High,Fast,Rise,229925206001.85025
8,879.5416695666669,350688.88710253034,-111.25176063131308,Exploit,-0.9871606685694138,High,Stagnant,Rise,232877291925.95383
9,879.5416695666669,350688.88710253034,-111.25176063131308,Explore,-0.9947793946875166,High,Stagnant,Rise,234093052353.3392
10,872.6309552809525,344326.95349957945,-136.2021849458874,Exploit,11.904153094895092,High,Stagnant,Rise,232557123167.3898
11,872.6309552809525,344326.95349957945,-136.2021849458874,Balanced,-0.9574588652085922,High,Slow,Flat,242450367090.75574
12,869.8591298841271,341770.53544084914,-136.20432780303025,Exploit,7.825533432551395,High,Stagnant,Rise,255471900068.24167
13,869.8591298841271,341770.53544084914,-136.20432780303025,Exploit,-1.0164726275857185,High,Slow,Rise,251263606599.80164
14,867.8690505190478,339993.8740304416,-126.20162572871571,Balanced,7.021789661116868,High,Stagnant,Flat,259231249948.55292
15,860.4886392636365,333154.25036340335,-131.14678433621933,Balanced,12.38805871365752,High,Slow,Rise,261213710108.64185
16,860.4886392636365,333154.25036340335,-131.14678433621933,Balanced,-0.967871981272397,High,Slow,Rise,269605989078.91895
17,860.4886392636365,333154.25036340335,-131.14678433621933,Explore,-1.0045056106391101,High,Stagnant,Rise,268391249466.15714
18,860.4886392636365,333154.25036340335,-131.14678433621933,Explore,-1.0116351037559073,High,Stagnant,Flat,265268489431.4408
19,858.903321803319,331697.7658111017,-136.1239898917749,Exploit,6.602903829044659,High,Stagnant,Flat,269933598898.28677
20,858.1630620630593,331010.1235905245,-126.14957044733043,Balanced,5.739401350871921,High,Slow,Rise,269701890761.58286
21,858.1630620630593,331010.1235905245,-126.14957044733043,Explore,-0.9989857410695665,High,Slow,Flat,269975438312.8426
22,858.1630620630593,331010.1235905245,-126.14957044733043,Explore,-1.0,High,Stagnant,Rise,269975438312.8426
