Generation,Best_Makespan,Best_Energy,Best_Reliability,Action,Reward,State_Div,State_Imp,State_HV,Hypervolume
0,1784.444808094805,1186574.0469149507,-260.22045551587297,Exploit,41.509270321297905,High,Fast,Flat,1660961984850.1885
1,1756.1367272867242,1160446.9813148389,-270.5749813672437,Explore,33.48438862921549,High,Fast,Rise,1953802573386.6216
2,1736.3207099707072,1142297.343636217,-265.43454783549765,Exploit,25.02191648675329,High,Fast,Rise,2356088903029.3633
3,1734.984129884127,1141101.1970544856,-219.91218879870124,Explore,6.3903570059051455,High,Slow,Rise,2482792105890.042
4,1727.1753275753242,1133736.33521911,-250.30867226551223,Explore,12.825453862709617,High,Slow,Rise,2524134452480.6973
5,1727.1753275753242,1133736.33521911,-250.30867226551223,Explore,-0.9912542423768188,High,Slow,Rise,2546209920610.4146
6,1727.1753275753242,1133736.33521911,-250.30867226551223,Explore,-0.9948864815878393,High,Stagnant,Rise,2559230011920.682
7,1697.736294386291,1106450.5295137167,-245.28159167748913,Explore,34.482371824506345,High,Stagnant,Rise,2670143548499.4263
8,1697.736294386291,1106441.4638770355,-240.32774247113994,Exploit,-0.9243414910400874,High,Fast,Rise,2872162628087.8228
9,1678.5281414281385,1088984.2020967833,-224.55971217893205,Exploit,24.264901164312235,High,Stagnant,Rise,3035152705030.567
10,1678.5281414281385,1088984.2020967833,-224.55971217893205,Explore,-0.984210954349109,High,Slow,Rise,3083074869647.7197
11,1646.6937258437226,1059893.1860471333,-244.59003950216444,Balanced,36.85047714005923,High,Stagnant,Rise,3132593848219.2476
12,1646.6937258437226,1059893.1860471333,-244.59003950216444,Balanced,-0.9689529243618011,High,Fast,Rise,3229851726368.667
13,1646.6937258437226,1059893.1860471333,-244.59003950216444,Explore,-0.9741949553074523,High,Stagnant,Rise,3313198194517.913
14,1646.6937258437226,1059893.1860471333,-244.59003950216444,Explore,-0.997972216189772,High,Stagnant,Rise,3319916644176.833
15,1637.6937258437229,1051275.3734288109,-234.83656100649347,Exploit,14.005849145975231,High,Stagnant,Rise,3339335321254.981
16,1637.6937258437229,1051275.3734288109,-234.83656100649347,Balanced,-0.9873903246846554,High,Slow,Rise,3381443255425.0684
17,1637.6937258437229,1051216.0413203693,-234.9116467207792,Exploit,-0.9721419274323702,High,Stagnant,Rise,3475643747018.0225
18,1637.6937258437229,1051216.0413203693,-234.9116467207792,Explore,-0.999494107876746,High,Stagnant,Rise,3477402047812.876
19,1635.1627013126983,1049151.7116523099,-214.68158959956702,Exploit,7.567214656341896,High,Stagnant,Rise,3603249663702.146
20,1635.1627013126983,1049151.7116523099,-214.68158959956702,Explore,-1.0076563712878244,High,Slow,Rise,3575661846434.1143
21,1635.1627013126983,1049151.7116523099,-214.68158959956702,Explore,-1.0155429519396098,High,Stagnant,Flat,3520085506202.6924
22,1635.1627013126983,1049151.7116523099,-214.68158959956702,Exploit,-0.9638103551222391,High,Stagnant,Flat,3647476150611.521
23,1635.1627013126983,1049151.7116523099,-214.68158959956702,Explore,-0.9825702208556055,High,Stagnant,Rise,3711050854351.126
24,1635.1627013126983,1049151.7116523099,-214.68158959956702,Explore,-1.0,High,Stagnant,Rise,3711050854351.126
25,1629.309165959163,1043730.3998648352,-214.71748126623368,Exploit,10.868335021493984,High,Stagnant,Flat,3765973174773.178
26,1619.309165959163,1034479.4746462494,-214.6908784884559,Exploit,15.01473640420855,High,Slow,Rise,3821470077715.19
27,1619.309165959163,1034479.4746462494,-214.6908784884559,Explore,-1.0,High,Slow,Rise,3821470077715.19
28,1593.8064603314567,1010717.9516829336,-224.92187822150072,Balanced,30.509536745920055,High,Stagnant,Flat,3847574991566.424
