Generation,Best_Makespan,Best_Energy,Best_Reliability,Action,Reward,State_Div,State_Imp,State_HV,Hypervolume
0,772.0169581669554,251061.3907462965,-90.82307673160174,Balanced,6.6346502813125285,High,Fast,Flat,46037152944.112946
1,771.5678239678209,250663.8250468699,-135.78246277056274,Balanced,5.573138696961035,High,Slow,Rise,51745966976.310814
2,755.6536825536795,235997.56984745062,-135.73350104617603,Balanced,20.955608010746708,High,Stagnant,Rise,53891696114.86621
3,755.6536825536795,235997.56984745062,-135.73350104617603,Explore,-0.971827762469083,High,Slow,Rise,55409945778.75822
4,755.6536825536795,235997.56984745062,-135.73350104617603,Exploit,-0.9232511294281471,High,Stagnant,Rise,59662596535.72552
5,755.6536825536795,235996.56115745063,-130.7304677128427,Exploit,-1.0061468989269615,High,Stagnant,Rise,59295856585.10033
6,755.6536825536795,235998.13020745065,-130.7290677128427,Exploit,-1.0035063866537641,High,Stagnant,Flat,59087942384.946815
7,755.6536825536795,235998.13020745065,-130.7290677128427,Explore,-0.9965826899515365,High,Stagnant,Flat,59289864204.20193
8,753.3769870269839,233879.75578249394,-80.74296709956712,Explore,7.338645865398774,High,Stagnant,Rise,62962891373.31969
9,753.3769870269839,233879.75578249394,-80.74296709956712,Explore,-0.9508410370819328,High,Slow,Rise,66058081815.555
10,753.3769870269839,233879.75578249394,-80.74296709956712,Exploit,-0.9618092133546575,High,Stagnant,Rise,68580891924.373436
11,753.3769870269839,233879.75578249394,-80.74296709956712,Explore,-0.9884975737237819,High,Stagnant,Rise,69369738577.69083
12,753.3769870269839,233879.75578249394,-80.74296709956712,Explore,-0.9749371855171057,High,Stagnant,Rise,71108339466.39037
13,753.3769870269839,233879.75578249394,-80.74296709956712,Explore,-0.9918292219970084,High,Stagnant,Rise,71689349922.3316
14,751.9345267095237,232541.37090979196,-80.76334462481964,Exploit,6.456330742787078,High,Stagnant,Rise,72683711697.1585
15,751.9345267095237,232540.5959431253,-75.76574462481965,Exploit,-0.7712138943025899,High,Slow,Rise,89312735043.98468
16,750.5577229577199,231276.48322089578,-75.75596089466089,Exploit,6.415227534681273,High,Stagnant,Rise,92744468183.51004
17,750.5577229577199,231276.48322089578,-75.75596089466089,Explore,-0.987226857770882,High,Slow,Rise,93929106466.58192
18,750.5577229577199,231276.48322089578,-75.75596089466089,Explore,-1.0145185236513203,High,Stagnant,Rise,92565394512.79947
19,746.4108975608945,227449.97364619162,-90.76657160894659,Balanced,9.16361179441132,High,Stagnant,Flat,94119234027.78697
20,746.4108975608945,227449.97364619162,-90.76657160894659,Explore,-0.9920052481291327,High,Slow,Rise,94871693950.11522
21,745.7377373877343,226851.75586372046,-90.6912062229437,Explore,5.70091858033393,High,Stagnant,Rise,97505181060.05222
22,745.7377373877343,226851.75586372046,-90.6912062229437,Explore,-0.997835390447057,High,Slow,Rise,97716241706.43623
23,745.7377373877343,226851.75586372046,-90.6912062229437,Exploit,-0.9823788894799338,High,Stagnant,Rise,99438110401.15085
24,745.7377373877343,226851.75586372046,-90.6912062229437,Balanced,-0.9916876758870462,High,Stagnant,Rise,100264672203.9849
25,745.7377373877343,226851.75586372046,-90.6912062229437,Exploit,-0.9607640671499552,High,Stagnant,Rise,104198650149.8122
26,740.2077951077921,221751.34190416423,-90.66181664862911,Explore,10.523594046343268,High,Stagnant,Rise,103537172777.96278
27,740.2077951077921,221751.34190416423,-90.66181664862911,Explore,-1.0,High,Slow,Flat,103537172777.96278
28,740.2077951077921,221751.34190416423,-90.66181664862911,Balanced,-0.9829046673613037,High,Stagnant,Flat,105307175187.07224
29,740.2077951077921,221751.34190416423,-90.66181664862911,Balanced,-0.9954469746544108,High,Stagnant,Rise,105786641424.77138
30,740.2077951077921,221751.34190416423,-90.66181664862911,Exploit,-0.9736154836873278,High,Stagnant,Rise,108577770791.10606
31,739.1787547037516,220820.4286646584,-85.72757487373742,Balanced,6.010959401811455,High,Stagnant,Rise,106614575875.40419
32,739.1787547037516,220820.4286646584,-85.72757487373742,Balanced,-0.9745589592675126,High,Slow,Flat,109326961642.92722
