Generation,Best_Makespan,Best_Energy,Best_Reliability,Action,Reward,State_Div,State_Imp,State_HV,Hypervolume
0,1741.984129884127,1147641.962588847,-200.294194512987,Exploit,-1.0,High,Fast,Flat,2239325765723.69
1,1738.2990649490623,1144279.3296149657,-235.41085357864353,Balanced,8.685064935064702,High,Stagnant,Flat,2664853350389.499
2,1738.2990649490623,1144279.3296149657,-235.41085357864353,Explore,-1.0,High,Slow,Flat,2967440136511.325
3,1738.2990649490623,1144279.3296149657,-235.41085357864353,Balanced,-1.0,High,Stagnant,Flat,3227281178142.5547
4,1738.2990649490623,1144279.3296149657,-235.41085357864353,Balanced,-1.0,High,Stagnant,Flat,3446980194149.0596
5,1728.775255425253,1135384.08471204,-210.2998655844156,Balanced,14.523809523809405,High,Stagnant,Flat,3682848473970.597
6,1728.775255425253,1135384.08471204,-210.2998655844156,Balanced,-1.0,High,Slow,Flat,3855627836169.318
7,1703.7067128567098,1112409.5764228404,-235.46355513708514,Balanced,30.06854256854308,High,Stagnant,Flat,3964737408672.8394
8,1703.7067128567098,1112409.5764228404,-235.46355513708514,Balanced,-1.0,High,Fast,Flat,4108001311955.9
9,1696.2851760601732,1105375.5850274363,-230.218135508658,Balanced,12.421536796536657,High,Stagnant,Flat,4200883468007.75
10,1681.2307027557,1091547.2977836994,-225.1257856709957,Exploit,20.054473304473277,High,Slow,Flat,4412783660850.73
11,1672.7658759158733,1084006.6570878876,-205.33118249999998,Exploit,13.464826839826628,High,Slow,Flat,4500060434651.626
12,1672.7658759158733,1083961.9156728873,-200.28123250000002,Exploit,-1.0,High,Slow,Flat,4698937107069.038
13,1672.7658759158733,1083828.54610485,-190.26754490981241,Balanced,-1.0,High,Stagnant,Flat,4769595573905.073
14,1672.7658759158733,1083828.54610485,-190.26754490981241,Explore,-1.0,High,Stagnant,Flat,4769595573905.073
15,1672.7658759158733,1083828.54610485,-190.26754490981241,Balanced,-1.0,High,Stagnant,Flat,4787048515349.616
16,1672.7658759158733,1083828.54610485,-190.26754490981241,Explore,-1.0,High,Stagnant,Flat,4764305663825.629
17,1672.7658759158733,1083828.54610485,-190.26754490981241,Balanced,-1.0,High,Stagnant,Flat,4895746214265.585
18,1662.6019148769117,1074384.955024157,-205.15355299422794,Balanced,15.163961038961588,High,Stagnant,Flat,4967937592568.316
19,1662.6019148769117,1074365.7767860615,-205.07708561327559,Exploit,-1.0,High,Slow,Flat,5173641702502.672
20,1662.6019148769117,1074365.7767860615,-205.07708561327559,Explore,-1.0,High,Stagnant,Flat,5173641702502.672
21,1662.6019148769117,1074365.7767860615,-205.07708561327559,Balanced,-1.0,High,Stagnant,Flat,5216032301114.832
