Generation,Best_Makespan,Best_Energy,Best_Reliability,Action,Reward,State_Div,State_Imp,State_HV,Hypervolume
0,773.5586248336218,252491.88839508416,-135.8068610389612,Exploit,5.711219336219187,High,Fast,Flat,37974508460.04675
1,770.0683650933621,249255.30170543052,-110.77120849567106,Balanced,8.490259740259717,High,Slow,Flat,41989113429.59012
2,766.2173549923519,245702.2271707082,-110.80397629870137,Balanced,8.85101010101016,High,Slow,Flat,48103513826.94148
3,766.2173549923519,245702.2271707082,-110.80397629870137,Explore,-1.0,High,Slow,Flat,51661864956.303894
4,766.2173549923519,245702.2271707082,-110.80397629870137,Balanced,-1.0,High,Stagnant,Flat,54844071136.23273
5,762.198595973593,242002.43690321187,-115.76047130230882,Explore,9.018759018758942,High,Stagnant,Flat,57152546289.846664
6,762.198595973593,242002.43690321187,-115.76047130230882,Balanced,-1.0,High,Slow,Flat,58054939647.218636
7,762.198595973593,242002.43690321187,-115.76047130230882,Explore,-1.0,High,Stagnant,Flat,59440242313.46202
8,762.198595973593,242002.43690321187,-115.76047130230882,Explore,-1.0,High,Stagnant,Flat,61200902415.709755
9,762.198595973593,242002.43690321187,-115.76047130230882,Explore,-1.0,High,Stagnant,Flat,63717925149.3849
10,756.7288990038959,236996.4899767327,-105.68734177489185,Explore,10.469696969697111,High,Stagnant,Flat,64550113264.81695
11,750.8955656705625,231619.40750563602,-115.70160928932184,Balanced,10.833333333333371,High,Slow,Flat,70221728130.48227
12,750.8955656705625,231619.40750563602,-115.70160928932184,Balanced,-1.0,High,Slow,Flat,71719942781.5831
13,750.8955656705625,231619.40750563602,-115.70160928932184,Explore,-1.0,High,Stagnant,Flat,72483134199.0755
14,748.1704574454544,229099.38092855096,-120.75575784632044,Explore,7.725108225108102,High,Stagnant,Flat,72883453001.3518
15,742.1589134339104,223550.64814179763,-110.6640299603175,Balanced,11.01154401154406,High,Slow,Flat,75279727785.9462
16,742.1589134339104,223550.64814179763,-110.6640299603175,Balanced,-1.0,High,Slow,Flat,77300719509.22594
17,742.1589134339104,223550.64814179763,-110.6640299603175,Exploit,-1.0,High,Stagnant,Flat,80312184773.46182
18,742.1589134339104,223550.64814179763,-110.6640299603175,Explore,-1.0,High,Stagnant,Flat,80550593684.14528
19,742.1589134339104,223544.7980499506,-110.66862976190482,Exploit,-1.0,High,Stagnant,Flat,80664804839.02135
20,742.1589134339104,223544.7980499506,-110.66862976190482,Exploit,-1.0,High,Stagnant,Flat,79767714643.0717
21,741.3760851510821,222823.57757848597,-105.64280048701299,Balanced,5.782828282828291,High,Stagnant,Flat,82069277169.88765
22,741.3760851510821,222819.79305929766,-100.66965459956717,Balanced,-1.0,High,Slow,Flat,83285263570.02307
23,739.7288990038959,221301.4061279593,-90.66347523448779,Exploit,6.647186147186176,High,Stagnant,Flat,85716454848.91582
24,739.7288990038959,221301.4061279593,-90.66347523448779,Explore,-1.0,High,Slow,Flat,85923333632.45567
25,739.7288990038959,221301.4061279593,-90.66347523448779,Explore,-1.0,High,Stagnant,Flat,84817291684.43057
26,739.7288990038959,221301.4061279593,-90.66347523448779,Explore,-1.0,High,Stagnant,Flat,83802116398.60971
27,739.7288990038959,221301.4061279593,-90.66347523448779,Explore,-1.0,High,Stagnant,Flat,84612595324.34378
28,739.7288990038959,221301.4061279593,-90.66347523448779,Explore,-1.0,High,Stagnant,Flat,85348325062.14737
29,739.7288990038959,221301.4061279593,-90.66347523448779,Explore,-1.0,High,Stagnant,Flat,87855546678.75214
30,739.7288990038959,221301.4061279593,-90.66347523448779,Explore,-1.0,High,Stagnant,Flat,88238586081.006
31,739.7288990038959,221301.4061279593,-90.66347523448779,Explore,-1.0,High,Stagnant,Flat,89922325962.91609
32,739.7288990038959,221301.4061279593,-90.66347523448779,Explore,-1.0,High,Stagnant,Flat,90870394454.69699
33,739.7288990038959,221301.4061279593,-90.66347523448779,Explore,-1.0,High,Stagnant,Flat,90834622109.3544
34,739.7288990038959,221301.4061279593,-90.66347523448779,Exploit,-1.0,High,Stagnant,Flat,92546800729.38635
35,739.7288990038959,221301.4061279593,-90.66347523448779,Explore,-1.0,High,Stagnant,Flat,92650729188.60707
36,738.2817489317458,219967.29092663171,-85.6400817279943,Exploit,6.447150072150066,High,Stagnant,Flat,92687379363.77718
37,738.2817489317458,219967.29092663171,-85.6400817279943,Balanced,-1.0,High,Slow,Flat,93295249426.3629
38,738.2817489317458,219967.29092663171,-85.6400817279943,Explore,-1.0,High,Stagnant,Flat,92850733614.38329
39,738.2817489317458,219967.29092663171,-85.6400817279943,Exploit,-1.0,High,Stagnant,Flat,96332734443.7139
40,736.2507244007213,218090.5525970574,-95.68371630591638,Balanced,7.031024531024514,High,Stagnant,Flat,95918033736.64478
41,736.2507244007213,218090.5525970574,-95.68371630591638,Balanced,-1.0,High,Slow,Flat,97794160918.43282
42,736.2507244007213,218090.5525970574,-95.68371630591638,Exploit,-1.0,High,Stagnant,Flat,98587181130.77626
43,735.949137099134,217825.34517828753,-90.70161253607509,Balanced,5.301587301587347,High,Stagnant,Flat,103037248083.05885
44,735.949137099134,217825.34517828753,-90.70161253607509,Balanced,-1.0,High,Stagnant,Flat,105510703806.57654
45,735.6379899129868,217519.79556440946,-85.70754119769121,Balanced,5.3111471861471955,High,Stagnant,Flat,109066863748.27246
46,735.6379899129868,217519.79556440946,-85.70754119769121,Explore,-1.0,High,Stagnant,Flat,109066863748.27246
47,735.6379899129868,217519.79556440946,-85.70754119769121,Balanced,-1.0,High,Stagnant,Flat,109833165525.14598
48,735.6379899129868,217519.79556440946,-85.70754119769121,Balanced,-1.0,High,Stagnant,Flat,110769939077.59642
49,735.6379899129868,217519.79556440946,-85.70754119769121,Balanced,-1.0,High,Stagnant,Flat,117023488183.69861
