Generation,Best_Makespan,Best_Energy,Best_Reliability,Action,Reward,State_Div,State_Imp,State_HV,Hypervolume
0,1741.984129884127,1147641.962588847,-200.294194512987,Balanced,-0.6814520322354695,High,Fast,Flat,2161384481825.862
1,1741.984129884127,1147641.962588847,-200.294194512987,Explore,-0.8481558322716145,High,Stagnant,Rise,2489578109609.758
2,1716.6269870269844,1124238.900852711,-230.08370632034635,Balanced,30.49747954141555,High,Stagnant,Rise,2838957246750.756
3,1716.6269870269844,1124101.4597175054,-229.98953110389618,Balanced,-0.901687609308153,High,Fast,Rise,3118061920750.7666
4,1706.8656233906202,1115198.7808084283,-260.0968301587302,Explore,14.821092454855734,High,Stagnant,Rise,3304300075260.6685
5,1706.8656233906202,1115198.7808084283,-260.0968301587302,Exploit,-0.8841471556221954,High,Slow,Rise,3687112637657.4106
6,1693.7386392636367,1103000.3270496193,-229.82470808802316,Exploit,18.182872363050055,High,Stagnant,Rise,3893178859155.1006
7,1693.7386392636367,1103000.3270496193,-229.82470808802316,Explore,-0.9996745202299644,High,Slow,Rise,3894446010114.8857
8,1693.7386392636367,1103000.3270496193,-229.82470808802316,Explore,-0.9967581199324748,High,Stagnant,Rise,3907071337009.1304
9,1679.068906218903,1089488.2967399615,-230.06201137806642,Explore,19.68613892624305,High,Stagnant,Rise,3971170286412.7754
10,1679.068906218903,1089488.2967399615,-230.06201137806642,Explore,-1.0,High,Slow,Rise,3971170286412.7754
11,1679.068906218903,1089488.2967399615,-230.06201137806642,Explore,-0.9977501861676625,High,Stagnant,Flat,3980104680253.7144
12,1679.068906218903,1089488.2967399615,-230.06201137806642,Explore,-0.990380413270279,High,Stagnant,Rise,4018391642418.783
13,1638.1866912116884,1052223.6266779052,-200.04650466089473,Balanced,45.89313395403279,High,Stagnant,Rise,4062268247056.7993
14,1638.1866912116884,1052223.6266779052,-200.04650466089473,Exploit,-0.9269609912433412,High,Fast,Rise,4358972293125.478
15,1638.1866912116884,1052223.6266779052,-200.04650466089473,Exploit,-0.9680487559956128,High,Stagnant,Rise,4498246880471.493
16,1590.647189047186,1008283.6684395719,-224.8110824855701,Balanced,52.56815381637734,High,Stagnant,Rise,4627129084138.136
17,1590.505414155411,1008044.1255603908,-224.76435804112566,Exploit,5.211936420958546,High,Fast,Rise,4951775536411.123
18,1590.505414155411,1008044.1255603908,-224.76435804112566,Exploit,-0.9366897540271117,High,Stagnant,Rise,5265273663623.842
19,1590.505414155411,1008044.1255603908,-224.76435804112566,Balanced,-0.997917787991528,High,Stagnant,Rise,5276237079674.131
20,1590.505414155411,1008044.1255603908,-224.76435804112566,Balanced,-1.0027738149668426,High,Stagnant,Rise,5261601774293.921
21,1590.505414155411,1008044.1255603908,-224.76435804112566,Explore,-1.00727433458068,High,Stagnant,Flat,5223327122557.407
22,1590.505414155411,1008044.1255603908,-224.76435804112566,Exploit,-0.9959436222234014,High,Stagnant,Flat,5244514910617.254
23,1588.5355368105338,1006356.0182362493,-214.95333624458883,Balanced,6.9789546141978684,High,Stagnant,Rise,5292120784917.165
24,1588.5355368105338,1006356.0182362493,-214.95333624458883,Explore,-1.0,High,Slow,Rise,5292120784917.165
25,1588.5355368105338,1006356.0182362493,-214.95333624458883,Explore,-1.0104262884311432,High,Stagnant,Flat,5236943607201.171
26,1588.5355368105338,1006356.0182362493,-214.95333624458883,Balanced,-0.9990288650407982,High,Stagnant,Flat,5242029386217.492
27,1588.5355368105338,1006356.0182362493,-214.95333624458883,Explore,-1.0,High,Stagnant,Rise,5242029386217.492
28,1588.5355368105338,1006356.0182362493,-214.95333624458883,Explore,-1.001195338402783,High,Stagnant,Flat,5235763387183.63
29,1552.1686536936504,972815.0002549144,-219.64405693001444,Balanced,41.3757690663775,High,Stagnant,Flat,5282288116205.223
30,1552.1686536936504,972815.0002549144,-219.64405693001444,Balanced,-0.9914873832880283,High,Fast,Rise,5327254210300.681
31,1552.1686536936504,972815.0002549144,-219.64405693001444,Explore,-1.004793945807947,High,Stagnant,Rise,5301715642311.343
32,1552.1686536936504,972815.0002549144,-219.64405693001444,Explore,-0.99929524999206,High,Stagnant,Flat,5305452026452.357
33,1552.1686536936504,972815.0002549144,-219.64405693001444,Exploit,-0.9911588079068779,High,Stagnant,Rise,5352358546959.066
34,1552.1686536936504,972815.0002549144,-219.64405693001444,Balanced,-0.9994642150809333,High,Stagnant,Rise,5355226259949.965
35,1552.1686536936504,972815.0002549144,-219.64405693001444,Explore,-1.0032863871026496,High,Stagnant,Rise,5337626913437.495
36,1513.1098513848483,936899.3641995213,-249.55188347763348,Exploit,44.05804432393963,High,Stagnant,Flat,5333581073035.543
