Makespan,Energy,Reliability,Schedule
866.0342741842715,338361.80772866664,-81.11585392857138,"[14, 1, 12, 11, 0, 13, 3, 8, 7, 2, 9, 5, 4, 10, 6, 6, 2, 8, 14, 10, 1, 12, 8, 9, 5, 11, 7, 3, 4, 15, 7, 8, 9, 15, 6, 2, 3, 9, 5, 11, 12, 8, 14, 10, 6, 8, 9, 10, 6, 7, 3, 9, 15, 6, 2, 8, 9, 5, 1, 12, 9, 5, 6, 7, 8, 9, 10, 1, 12, 13, 9, 5, 1, 7, 3, 5, 6, 7, 3, 4, 10, 1, 12, 13, 4, 10, 1, 7, 13, 9, 6, 2, 8, 4, 15, 1, 7, 8, 4, 10, 6, 7, 8, 4, 5, 7, 8, 4, 5, 6, 2, 3, 4, 10, 1, 2, 3, 4, 15, 6, 8, 9, 5, 11, 2, 8, 4, 5, 1, 12, 8, 14, 5, 1, 2, 9, 15, 1, 7, 3, 4, 5, 1, 2, 13, 4, 5, 6, 2, 13, 10, 1, 2, 13, 4, 5, 6, 7, 3, 14, 5, 1, 12, 3, 14, 6, 12, 8, 4, 15, 1, 7, 8, 4, 10, 1, 2, 13, 4, 10, 12, 3, 4, 5, 6, 2, 13, 4, 5, 1, 12, 8, 9, 15, 6, 13, 14, 15, 1, 2, 13, 4, 5, 1, 2, 8, 4, 5, 1, 7, 4, 5, 11, 2, 8, 14, 10, 1, 2, 3, 4, 15, 1, 7, 8, 5, 6, 7, 3, 4, 5, 1, 2, 8, 4, 10, 11, 12, 13, 4]"
866.0342741842715,338348.90897574095,-91.16765845598842,"[14, 1, 12, 11, 0, 13, 3, 8, 7, 2, 9, 5, 4, 10, 6, 6, 2, 8, 14, 10, 1, 12, 8, 14, 5, 11, 7, 3, 4, 15, 7, 8, 9, 15, 6, 2, 3, 9, 5, 11, 12, 8, 14, 10, 6, 3, 9, 10, 6, 7, 3, 9, 15, 6, 2, 8, 9, 5, 1, 12, 9, 5, 6, 7, 8, 9, 10, 1, 12, 13, 9, 5, 1, 7, 3, 5, 6, 7, 3, 4, 10, 1, 12, 13, 4, 10, 1, 7, 13, 9, 6, 2, 8, 4, 15, 11, 7, 13, 4, 10, 6, 7, 8, 4, 5, 7, 8, 4, 5, 6, 2, 3, 4, 10, 1, 2, 3, 4, 15, 6, 8, 9, 5, 11, 2, 8, 4, 5, 1, 12, 8, 14, 5, 1, 2, 9, 15, 1, 7, 3, 4, 5, 1, 2, 13, 4, 5, 6, 2, 13, 10, 1, 2, 13, 4, 5, 6, 7, 3, 14, 5, 1, 12, 3, 14, 6, 12, 8, 4, 15, 1, 7, 8, 4, 10, 1, 2, 13, 4, 10, 12, 3, 4, 5, 6, 2, 13, 4, 5, 1, 12, 8, 9, 15, 6, 13, 14, 15, 1, 2, 13, 4, 5, 1, 2, 8, 4, 5, 1, 7, 14, 5, 11, 2, 8, 14, 10, 1, 2, 3, 4, 15, 1, 7, 8, 5, 6, 7, 3, 4, 5, 1, 2, 8, 4, 10, 11, 12, 13, 4]"
841.4992813992785,315698.9298819386,-126.14498755772007,"[1, 12, 11, 0, 13, 14, 5, 10, 3, 8, 7, 4, 2, 9, 6, 6, 2, 3, 14, 10, 11, 2, 3, 9, 5, 6, 7, 3, 14, 15, 7, 8, 9, 15, 6, 12, 3, 9, 5, 6, 12, 8, 14, 10, 6, 8, 9, 10, 6, 2, 3, 9, 15, 1, 7, 8, 9, 5, 1, 2, 9, 5, 11, 7, 8, 9, 10, 1, 12, 8, 9, 5, 1, 2, 3, 5, 6, 7, 8, 4, 5, 1, 7, 8, 4, 15, 11, 2, 8, 9, 6, 2, 8, 4, 5, 6, 7, 8, 4, 10, 6, 2, 13, 9, 10, 7, 3, 4, 5, 6, 2, 3, 4, 10, 1, 2, 3, 4, 10, 6, 8, 4, 5, 6, 2, 8, 4, 5, 6, 2, 8, 4, 5, 11, 2, 9, 10, 1, 12, 3, 4, 10, 1, 7, 8, 4, 5, 11, 2, 13, 5, 1, 2, 3, 4, 5, 6, 2, 3, 14, 5, 1, 7, 3, 14, 6, 12, 8, 4, 15, 6, 7, 8, 4, 15, 1, 2, 8, 4, 10, 12, 13, 4, 10, 11, 2, 13, 4, 5, 1, 7, 8, 4, 10, 11, 13, 14, 10, 1, 2, 13, 4, 5, 1, 12, 13, 4, 5, 1, 7, 4, 5, 11, 2, 8, 14, 10, 11, 2, 3, 9, 15, 1, 7, 13, 10, 6, 2, 13, 4, 15, 11, 2, 3, 4, 10, 11, 2, 13, 4]"
902.5454574454548,371851.07552223443,-71.25305898989895,"[1, 14, 0, 12, 11, 2, 8, 7, 3, 9, 5, 4, 10, 13, 6, 6, 2, 8, 14, 15, 11, 7, 8, 9, 5, 6, 7, 13, 14, 15, 7, 8, 14, 15, 6, 2, 13, 9, 15, 6, 7, 8, 14, 10, 6, 8, 9, 10, 6, 7, 8, 9, 15, 6, 12, 8, 9, 15, 1, 2, 9, 5, 6, 7, 8, 9, 10, 1, 2, 8, 9, 5, 6, 7, 3, 5, 1, 12, 3, 4, 10, 1, 7, 3, 4, 10, 1, 7, 3, 9, 6, 2, 8, 4, 15, 6, 7, 8, 4, 10, 6, 7, 8, 9, 5, 7, 8, 9, 5, 11, 2, 3, 4, 10, 1, 2, 3, 4, 15, 1, 8, 4, 5, 11, 12, 8, 4, 15, 1, 7, 8, 14, 5, 6, 2, 9, 15, 1, 12, 3, 14, 10, 6, 2, 13, 4, 5, 6, 2, 13, 10, 6, 2, 13, 14, 5, 6, 7, 8, 14, 5, 1, 7, 13, 14, 6, 12, 8, 4, 5, 6, 2, 8, 4, 15, 1, 7, 13, 4, 10, 2, 3, 4, 5, 6, 12, 13, 4, 5, 1, 7, 8, 9, 5, 11, 13, 14, 15, 1, 12, 8, 9, 5, 1, 2, 8, 4, 5, 1, 7, 4, 5, 11, 2, 8, 14, 10, 11, 2, 8, 4, 10, 6, 12, 8, 10, 11, 7, 13, 4, 5, 1, 2, 8, 4, 5, 11, 12, 13, 9]"
866.0342741842715,338354.3274238795,-86.19723755772004,"[14, 1, 2, 9, 12, 11, 0, 13, 3, 8, 7, 5, 4, 10, 6, 6, 2, 8, 14, 15, 1, 2, 8, 9, 5, 11, 7, 3, 14, 15, 7, 8, 4, 15, 6, 2, 3, 9, 5, 6, 12, 8, 14, 10, 6, 8, 9, 10, 6, 7, 3, 9, 15, 6, 2, 8, 9, 5, 1, 12, 9, 5, 6, 7, 8, 9, 10, 1, 12, 13, 9, 5, 1, 7, 3, 5, 11, 7, 3, 4, 10, 1, 7, 13, 4, 10, 1, 7, 13, 9, 6, 2, 8, 4, 15, 1, 7, 8, 4, 10, 6, 7, 8, 4, 5, 7, 8, 4, 5, 6, 2, 3, 4, 10, 1, 2, 3, 9, 15, 6, 8, 9, 5, 11, 2, 8, 4, 15, 1, 12, 8, 14, 5, 11, 2, 9, 15, 1, 12, 3, 4, 5, 1, 2, 13, 4, 15, 6, 2, 13, 10, 1, 2, 3, 4, 5, 6, 7, 3, 14, 5, 1, 12, 8, 14, 6, 12, 8, 4, 15, 1, 7, 8, 4, 10, 1, 2, 13, 4, 10, 12, 3, 4, 5, 6, 2, 13, 4, 5, 1, 12, 8, 9, 15, 6, 13, 14, 15, 1, 2, 13, 4, 10, 1, 2, 8, 4, 5, 1, 7, 4, 5, 11, 2, 8, 14, 10, 1, 2, 3, 4, 15, 1, 7, 8, 10, 6, 7, 13, 4, 5, 1, 2, 8, 4, 10, 11, 12, 13, 4]"
849.6657676907648,323235.7169215994,-101.18703925324677,"[1, 12, 11, 0, 13, 14, 5, 10, 3, 8, 7, 4, 2, 9, 6, 6, 2, 3, 14, 10, 11, 2, 3, 9, 5, 6, 7, 3, 14, 15, 7, 8, 9, 15, 6, 12, 8, 9, 5, 6, 12, 8, 14, 10, 6, 8, 9, 10, 6, 2, 3, 9, 15, 6, 7, 8, 9, 5, 1, 2, 9, 15, 6, 7, 8, 9, 10, 1, 12, 8, 9, 5, 1, 2, 3, 5, 1, 7, 8, 4, 10, 1, 7, 8, 4, 5, 1, 2, 8, 9, 6, 2, 8, 4, 5, 6, 7, 8, 4, 10, 6, 7, 3, 4, 10, 7, 8, 4, 5, 6, 2, 3, 4, 10, 1, 2, 3, 4, 10, 6, 8, 4, 5, 11, 2, 8, 4, 15, 1, 7, 8, 4, 5, 11, 2, 9, 10, 1, 12, 3, 4, 10, 6, 7, 8, 4, 5, 11, 2, 13, 15, 1, 2, 3, 4, 5, 6, 2, 3, 14, 5, 1, 7, 8, 14, 6, 12, 8, 4, 15, 6, 7, 8, 4, 15, 1, 2, 13, 4, 10, 12, 13, 4, 15, 11, 2, 13, 4, 10, 1, 2, 8, 4, 10, 1, 13, 14, 10, 1, 2, 13, 4, 5, 1, 12, 8, 9, 5, 1, 7, 4, 5, 11, 12, 8, 14, 10, 11, 2, 3, 9, 15, 1, 2, 13, 10, 6, 2, 13, 4, 15, 11, 2, 8, 4, 10, 11, 2, 13, 4]"
850.0674632174604,323610.1987587748,-96.20518856782103,"[1, 14, 10, 9, 12, 11, 0, 13, 3, 8, 7, 4, 2, 6, 5, 6, 2, 3, 9, 10, 11, 2, 3, 9, 5, 6, 12, 3, 14, 15, 7, 8, 9, 15, 6, 12, 8, 9, 5, 6, 12, 8, 4, 10, 1, 8, 9, 10, 6, 2, 3, 9, 15, 6, 7, 8, 9, 5, 1, 2, 9, 15, 6, 7, 8, 9, 10, 1, 2, 8, 4, 5, 1, 7, 3, 5, 1, 7, 8, 4, 10, 1, 7, 8, 4, 5, 1, 2, 13, 9, 6, 2, 8, 4, 5, 1, 7, 8, 4, 10, 6, 7, 3, 4, 10, 12, 8, 4, 5, 6, 2, 3, 4, 10, 1, 2, 3, 9, 10, 6, 8, 4, 5, 11, 2, 8, 4, 15, 1, 7, 8, 4, 10, 11, 2, 9, 10, 1, 12, 3, 4, 10, 6, 7, 13, 4, 5, 6, 2, 13, 15, 1, 2, 3, 4, 5, 6, 2, 3, 14, 5, 1, 7, 8, 14, 6, 12, 8, 4, 15, 6, 7, 8, 4, 15, 1, 2, 13, 4, 10, 12, 13, 4, 15, 11, 2, 13, 4, 10, 1, 2, 8, 4, 10, 6, 13, 14, 10, 1, 7, 13, 4, 5, 1, 12, 13, 9, 5, 1, 7, 4, 5, 11, 12, 8, 14, 10, 11, 2, 3, 4, 15, 1, 2, 13, 10, 6, 2, 13, 4, 15, 11, 2, 8, 4, 10, 11, 2, 8, 9]"
853.3517345017317,326638.4275358095,-91.20445617243864,"[1, 12, 11, 0, 13, 3, 2, 7, 5, 10, 4, 8, 9, 6, 14, 6, 2, 3, 14, 10, 11, 12, 8, 9, 5, 11, 7, 3, 4, 5, 7, 8, 9, 15, 6, 12, 8, 9, 5, 11, 7, 8, 14, 10, 6, 8, 9, 10, 6, 2, 3, 9, 15, 6, 7, 8, 9, 5, 1, 2, 9, 5, 6, 7, 8, 9, 10, 6, 12, 13, 9, 5, 1, 7, 13, 5, 1, 7, 8, 4, 15, 1, 12, 13, 4, 10, 1, 2, 13, 9, 6, 2, 8, 4, 15, 11, 7, 13, 4, 10, 6, 7, 8, 4, 10, 7, 8, 4, 5, 6, 2, 3, 4, 10, 1, 2, 3, 4, 15, 6, 8, 9, 5, 6, 2, 8, 4, 5, 1, 7, 8, 4, 5, 1, 2, 9, 15, 1, 7, 3, 4, 5, 1, 7, 13, 4, 5, 11, 2, 13, 10, 1, 2, 13, 4, 5, 6, 2, 3, 14, 5, 1, 2, 3, 14, 6, 12, 8, 4, 15, 6, 7, 8, 9, 15, 1, 2, 8, 4, 10, 12, 3, 4, 15, 6, 2, 8, 4, 5, 1, 12, 8, 9, 15, 11, 13, 14, 10, 1, 2, 13, 4, 5, 1, 2, 8, 4, 5, 1, 12, 14, 5, 11, 2, 8, 14, 15, 11, 2, 3, 4, 15, 1, 7, 13, 5, 6, 2, 3, 4, 5, 1, 2, 8, 4, 10, 11, 12, 13, 4]"
848.0707099707072,321762.37679431954,-106.12873138888891,"[1, 12, 11, 0, 13, 14, 5, 10, 3, 8, 7, 4, 2, 9, 6, 6, 2, 3, 9, 10, 11, 2, 3, 9, 15, 6, 7, 13, 14, 10, 7, 8, 4, 15, 6, 12, 3, 9, 5, 6, 12, 13, 14, 10, 6, 3, 9, 10, 6, 2, 3, 9, 15, 1, 7, 8, 9, 5, 1, 2, 9, 5, 11, 7, 8, 9, 10, 1, 12, 8, 9, 5, 1, 2, 3, 5, 1, 7, 8, 9, 5, 1, 7, 8, 4, 15, 11, 2, 8, 9, 6, 2, 8, 4, 5, 6, 7, 8, 4, 10, 6, 7, 13, 9, 10, 7, 3, 4, 5, 6, 2, 3, 4, 10, 1, 2, 3, 14, 10, 6, 8, 4, 5, 6, 2, 8, 4, 15, 6, 2, 8, 4, 5, 11, 2, 9, 10, 1, 12, 8, 4, 10, 1, 7, 8, 4, 5, 11, 2, 13, 10, 1, 2, 3, 4, 5, 6, 2, 3, 14, 5, 1, 7, 3, 14, 6, 12, 8, 4, 15, 6, 7, 8, 4, 15, 1, 2, 13, 4, 10, 12, 13, 4, 10, 11, 2, 8, 4, 5, 1, 7, 8, 4, 10, 6, 13, 9, 10, 1, 2, 13, 4, 5, 1, 12, 13, 4, 5, 1, 2, 4, 5, 11, 2, 8, 14, 5, 6, 2, 3, 9, 15, 1, 7, 13, 10, 6, 2, 13, 4, 15, 11, 2, 3, 4, 10, 6, 2, 13, 4]"
843.65386292886,317763.16222973797,-110.99974049783546,"[1, 14, 10, 9, 12, 11, 0, 13, 3, 8, 7, 4, 2, 6, 5, 6, 2, 3, 9, 10, 11, 2, 3, 9, 5, 11, 7, 3, 14, 15, 7, 8, 9, 5, 6, 12, 3, 9, 5, 1, 12, 8, 4, 10, 6, 8, 9, 10, 6, 2, 3, 9, 15, 6, 2, 8, 9, 5, 1, 2, 9, 5, 6, 7, 8, 9, 10, 1, 12, 8, 14, 15, 1, 7, 3, 5, 6, 7, 3, 4, 10, 1, 7, 13, 4, 15, 1, 2, 8, 9, 6, 2, 8, 4, 5, 1, 7, 8, 4, 10, 6, 7, 3, 4, 10, 7, 8, 4, 5, 6, 2, 3, 4, 10, 1, 2, 3, 4, 15, 6, 8, 4, 5, 6, 2, 8, 4, 15, 1, 2, 8, 4, 5, 11, 2, 9, 10, 1, 12, 8, 4, 10, 1, 2, 13, 4, 5, 11, 2, 8, 10, 1, 2, 3, 4, 5, 6, 2, 3, 14, 5, 1, 7, 3, 14, 6, 12, 8, 4, 15, 6, 7, 8, 14, 5, 1, 2, 13, 4, 10, 12, 13, 4, 15, 11, 2, 3, 4, 5, 1, 7, 8, 4, 5, 6, 13, 9, 10, 1, 2, 13, 4, 5, 1, 12, 8, 4, 5, 1, 7, 4, 5, 11, 2, 3, 14, 10, 11, 2, 13, 9, 15, 1, 12, 8, 10, 6, 2, 13, 4, 5, 1, 2, 8, 4, 10, 11, 2, 13, 4]"
