Generation,Best_Makespan,Best_Energy,Best_Reliability,Hypervolume
0,1729.9419220919194,1136220.1125011882,-240.1974695093794,2274238103685.0737
1,1729.9419220919194,1136220.1125011882,-240.1974695093794,2600850921107.6274
2,1713.3928600428571,1120863.9610567654,-235.23584521645017,2872100936965.043
3,1713.3928600428571,1120863.9610567654,-235.23584521645017,3149028203595.6816
4,1713.3928600428571,1120863.9610567654,-235.23584521645017,3402334254313.2866
5,1686.7463953963927,1096543.057305337,-225.1219542821067,3539431762255.728
6,1674.196431471428,1084915.8346741567,-225.0677209307359,3637154304767.457
7,1674.196431471428,1084915.8346741567,-225.0677209307359,3745702486861.203
8,1674.196431471428,1084915.8346741567,-225.0677209307359,3826538843966.579
9,1673.1627013126988,1084249.5019196013,-239.72994145382398,3869014517838.7256
10,1673.1627013126988,1084249.5019196013,-239.72994145382398,3904880478756.129
11,1673.1627013126988,1084249.5019196013,-239.72994145382398,4028669791343.7295
12,1665.0377013126988,1076740.9855551387,-224.57007777777773,4088637065313.624
13,1643.1627013126983,1056563.7816274757,-219.65098531024526,4234881041492.6416
14,1643.1627013126983,1056563.7816274757,-219.65098531024526,4460900100316.655
15,1640.215370865368,1053801.3593508527,-219.6265228715729,4677723151396.257
16,1609.8131342131312,1025757.6271778259,-229.52835334776327,4773734307177.421
17,1599.8131342131312,1016524.8190619457,-214.48196860028852,4800868331927.104
18,1579.853357878355,998685.8079968555,-204.21858487734485,4929743711646.017
19,1530.4029610529576,952815.3421460615,-223.8423789321789,5025788697610.077
20,1530.4029610529576,952815.3421460615,-223.8423789321789,5226793664254.994
21,1530.4029610529576,952815.3421460615,-223.8423789321789,5550871105050.413
22,1530.4029610529576,952815.3421460615,-223.8423789321789,5631679991672.447
23,1530.4029610529576,952815.3421460615,-223.8423789321789,5753528970374.779
24,1508.73088313088,932805.4913151781,-188.71204063852815,5963364061586.04
25,1508.73088313088,932805.4913151781,-188.71204063852815,6187859658855.82
26,1507.154584429581,931315.2797659137,-188.75119635281388,6275350312347.203
27,1507.154584429581,931315.2797659137,-188.75119635281388,6459637762125.328
28,1506.432362207359,930831.1456614258,-198.83226381313133,6527292503885.132
29,1506.432362207359,930831.1456614258,-198.83226381313133,6691785987035.938
30,1506.432362207359,930819.0970229626,-198.7499118975469,6878761127944.803
31,1497.154584429581,922058.3033454592,-188.77400220779228,6910105098555.584
32,1497.154584429581,922058.3033454592,-188.77400220779228,6954075359229.226
33,1497.154584429581,922058.3033454592,-188.77400220779228,7029243783760.52
34,1479.94733334733,906355.4411131646,-203.48154241341987,7112538131937.447
35,1479.94733334733,906261.1946628039,-198.48354307720058,7196573623954.406
36,1479.94733334733,906261.1946628039,-198.48354307720058,7242476316624.387
37,1479.94733334733,906261.1946628039,-198.48354307720058,7270997223471.431
38,1479.94733334733,906261.1946628039,-198.48354307720058,7236671713281.643
39,1479.94733334733,906261.1946628039,-198.48354307720058,7212709822903.872
40,1473.978357878355,900854.5781070032,-193.56636720779215,7253033713369.6
41,1473.978357878355,900854.5781070032,-193.56636720779215,7289166924706.811
42,1457.1516984266952,885322.6017966893,-188.44705860028859,7463320043630.178
43,1457.1516984266952,885322.6017966893,-188.44705860028859,7504442414703.147
44,1457.1516984266952,885322.6017966893,-188.44705860028859,7513116390294.498
45,1457.1516984266952,885322.6017966893,-188.44705860028859,7604310185431.194
46,1457.1516984266952,885322.6017966893,-188.44705860028859,7616622103316.993
47,1457.1516984266952,885322.6017966893,-188.44705860028859,7615980835354.515
48,1457.1516984266952,885322.6017966893,-188.44705860028859,7754884025926.0205
49,1457.1516984266952,885322.6017966893,-188.44705860028859,7812975762891.3955
