Generation,Best_Makespan,Best_Energy,Best_Reliability,Hypervolume
0,902.9612222362196,372189.42328710825,-146.575205064935,136224966267.4045
1,902.9612222362196,372189.42328710825,-146.575205064935,157725786168.49765
2,902.9612222362196,372189.42328710825,-146.575205064935,167322637338.3256
3,902.9612222362196,372189.42328710825,-146.575205064935,175834734570.90057
4,902.9612222362196,372189.42328710825,-146.575205064935,185294430684.63004
5,883.7426075176049,354551.32427130383,-131.39082059884564,189512376989.04837
6,883.7426075176049,354551.32427130383,-131.39082059884564,196421502634.20618
7,883.7426075176049,354551.32427130383,-131.39082059884564,208146382297.15787
8,883.7426075176049,354551.32427130383,-131.39082059884564,211354079060.0699
9,883.7426075176049,354551.32427130383,-131.39082059884564,221671498575.90225
10,883.7426075176049,354551.32427130383,-131.39082059884564,226851968104.25174
11,883.7426075176049,354535.2583212966,-131.3438371861472,229778247892.57452
12,881.948415598413,352894.4355512606,-121.30537500000001,238397035090.40378
13,872.6507965507938,344385.20336742926,-116.33644874458875,242070988851.1211
14,872.6507965507938,344385.20336742926,-116.33644874458875,245024746165.89578
15,868.8351399851373,340976.67145635065,-141.26347762987012,255991403675.8016
16,868.8351399851373,340976.67145635065,-141.26347762987012,254917503396.6369
17,868.8351399851373,340976.67145635065,-141.26347762987012,259756088655.6957
18,868.8351399851373,340976.67145635065,-141.26347762987012,254374844186.59854
19,868.8351399851373,340976.67145635065,-141.26347762987012,254060281148.73505
20,868.8351399851373,340976.67145635065,-141.26347762987012,252633335553.28143
21,868.8351399851373,340976.67145635065,-141.26347762987012,255008328323.78198
22,868.8351399851373,340976.67145635065,-141.26347762987012,255787966216.9976
23,860.0851399851373,332873.177659886,-146.27835218975468,258942538980.24863
24,858.8542597542571,331749.6607944567,-141.2977662301587,263779287724.42337
25,856.3338773588746,329430.98982990044,-151.26707643217904,266084877407.56778
26,856.3338773588746,329430.98982990044,-151.26707643217904,271109323218.51364
27,856.3338773588746,329430.98982990044,-151.26707643217904,273929239505.738
28,854.0923549923523,327358.34420132905,-131.18942764790765,276382216142.631
29,854.0923549923523,327358.34420132905,-131.18942764790765,276811318132.6149
30,854.0923549923523,327358.34420132905,-131.18942764790765,278012470439.1137
31,849.2592020341992,322924.1157594495,-126.20347990259744,284962998221.00464
32,849.2592020341992,322924.1157594495,-126.20347990259744,288541249394.2537
33,849.2592020341992,322924.1157594495,-126.20347990259744,294601621624.4026
34,845.8102482102454,319731.6122837712,-131.26338252525255,303161299562.63837
35,845.8102482102454,319731.6122837712,-131.26338252525255,307928089517.2752
36,844.0519509519481,318188.09883837803,-121.27084387445892,310743004937.6198
37,844.0519509519481,318188.09883837803,-121.27084387445892,314864180752.20654
38,840.5842381092355,315017.36399221286,-131.19128506493504,317597493427.0153
39,834.6057027556999,309565.76269505545,-136.14843355699855,315692360947.74396
40,834.6057027556999,309565.76269505545,-136.14843355699855,319775295406.3189
41,834.6057027556999,309565.76269505545,-136.14843355699855,317518884976.6114
42,834.6057027556999,309565.76269505545,-136.14843355699855,314558555159.6649
43,834.6057027556999,309565.76269505545,-136.14843355699855,313168597053.681
44,834.6057027556999,309565.76269505545,-136.14843355699855,313369175426.1242
45,834.6057027556999,309501.0111703729,-141.19896213564212,310993539279.42017
46,833.362917762915,308458.23879493657,-141.09760193001452,321574210940.9177
47,833.362917762915,308458.23879493657,-141.09760193001452,324395306656.5769
48,833.362917762915,308458.23879493657,-141.09760193001452,323840877543.2253
49,830.0295844295817,305390.0412877612,-126.10214938672446,334218315578.3215
