Makespan,Energy,Reliability
895.2709264209238,365151.5415019641,-76.41399319264067
846.8890721640694,320831.2671582229,-111.17005560966811
847.7766984266957,321584.6530575736,-106.19443654761903
845.3840216590188,319313.7033128548,-116.25340351370856
848.7918499418471,322516.82842389744,-106.18698782106785
845.8755440255411,319870.6872818809,-111.19811659451659
842.9940505190476,317286.6064868086,-121.17513506493508
834.6057027556999,309521.68022924016,-121.20162923160177
847.059526709524,320981.565581697,-106.26136418109672
860.8695916445887,333649.66252251936,-96.22560940836937
843.4801616301588,317713.4920849616,-121.15520897546902
855.8845627845601,329115.896576228,-106.14784071428573
845.3001472001444,319343.54323619185,-116.19151965728717
834.6057027556999,309519.988272927,-121.24151768759022
839.4821457571429,313999.54682433035,-121.192138982684
830.0295844295817,305390.0412877612,-126.10214938672446
918.9614026114,386907.24980523955,-81.58772987373733
843.4007965507936,317686.387303028,-121.17564827561333
853.7128456128428,327165.624250878,-111.15971419552669
850.209959609957,323924.7015144351,-111.16089024170273
848.2606450356423,322054.85741471645,-116.15807439033193
879.3257604757578,350616.28850556427,-96.30090949134201
888.7052698552671,359281.6356693269,-96.27481409090908
865.1121962621935,337430.03687242203,-101.25790441558445
859.6493535493506,332555.54218628193,-106.21332870851371
846.5377013126986,320443.81088739325,-121.15243620490624
834.6057027556999,309508.57988471276,-126.21705637806645
833.362917762915,308458.23879493657,-141.09760193001452
836.8051977051948,311524.25464901654,-126.17559569264075
887.724930749928,358475.6570359142,-96.30136239177486
