mode,seed,best_makespan,best_energy,best_reliability,best_hv,igd
RL (No HV Reward),0,719.8086248336217,202980.35208437705,-50.6282537337662,132835300349.53236,0.11390417524918697
RL (No HV Reward),1,720.0746782246752,203232.97315637564,-45.67320358946609,134554007870.54562,0.10808216655904827
RL (No HV Reward),2,733.4518427268397,215521.84518477388,-40.74486352813853,128771754092.37776,0.1872348061723394
RL (No HV Reward),3,725.1419581669551,207876.88217429048,-55.6918048701299,118250316249.55711,0.17897543500773744
RL (No HV Reward),4,735.6379899129868,217519.79556440943,-50.690228336940834,117023488183.6986,0.21954425941615438
RL (No HV Reward),5,724.0925353675323,206899.4731797919,-35.83038425324676,126554417356.97224,0.12193449524238248
RL (No HV Reward),6,722.5151544151513,205483.79932808195,-55.66900761183261,126479862503.9197,0.15673969761938872
RL (No HV Reward),7,720.4615829865799,203589.0100017652,-50.590901443001464,149347402918.51767,0.08598925266040808
RL (No HV Reward),8,726.094339119336,208757.49595698528,-45.66352404401155,134172919562.90154,0.11463448885274842
RL (No HV Reward),9,722.219339119336,205202.98612257687,-40.606071410533914,131660857153.93672,0.0788428311997939
RL (No HV Reward),10,731.8789711539681,214066.3952828655,-35.872426857864376,130215970598.78905,0.1462108144544177
RL (No HV Reward),11,726.4455295955265,209122.6222977429,-50.77813703102454,124085391704.21674,0.16031820074932027
RL (Random Operator),0,725.2929321929291,208040.8138089658,-40.76861551226553,149642762464.62103,0.10804540816763979
RL (Random Operator),1,724.9237041987011,207699.8611241101,-40.70192254689755,127103979186.91911,0.1428397255364672
RL (Random Operator),2,731.8928600428569,214083.83045414975,-50.632773683261206,116642274838.39088,0.20986102494054773
RL (Random Operator),3,733.8562438812407,215922.5255778583,-40.78642337662339,127260329258.2365,0.2034639490224956
RL (Random Operator),4,737.3650822650792,219109.27780322984,-40.74762642496392,130922512132.71776,0.2160079700969526
RL (Random Operator),5,729.2729105479075,211706.98286809272,-50.725011381673866,120749175972.48969,0.1774893840650119
RL (Random Operator),6,727.730342005339,210271.81017896225,-50.8068228896104,111918773383.879,0.1882166143014338
RL (Random Operator),7,744.2893246893216,225498.63412946716,-50.767606024531055,99554292547.7526,0.3582633416227807
RL (Random Operator),8,735.3253997253967,217263.5367736231,-40.693777705627696,109172334502.41328,0.25210163411362924
RL (Random Operator),9,731.1758687008656,213448.3820889044,-55.71124467893217,103571463019.89348,0.24262370962124843
RL (Random Operator),10,738.5627734627703,220292.04819048813,-45.767085082972585,117843405589.29855,0.25455440900096943
RL (Random Operator),11,730.2384588884559,212536.6062437349,-40.681880537518026,141073175555.6489,0.13165758615930756
RL-AOS-GA,0,725.7341298841268,208437.67454390804,-50.74648762626263,106800135574.04063,0.2593456336779424
RL-AOS-GA,1,719.1504358004327,202406.15213997583,-50.59651711760459,132551516325.53612,0.11414843983965885
RL-AOS-GA,2,730.5685454685424,212883.66691200685,-35.723703896103885,150613924860.88464,0.10706837234471733
RL-AOS-GA,3,730.5021674021643,212840.7415342796,-70.73229042207792,84649929648.80489,0.3611979590048639
RL-AOS-GA,4,733.4951327701297,215557.66936480993,-55.724108116883095,106493939307.72594,0.2512482032063606
RL-AOS-GA,5,723.9018788018757,206752.6991536916,-45.64389069264069,141972858231.54422,0.12136370849034432
RL-AOS-GA,6,724.8681486431456,207637.61572573704,-45.794961038961034,135373724941.62756,0.13547342481516234
RL-AOS-GA,7,714.0010851510821,197603.9247916101,-45.71525185786438,138382811802.25504,0.08178288845830439
RL-AOS-GA,8,732.4258687008657,214613.7036053259,-40.69028672438672,137137436594.1102,0.14879139590618706
RL-AOS-GA,9,722.219339119336,205202.98612257687,-40.606071410533914,131660857153.93672,0.0788428311997939
RL-AOS-GA,10,729.7103203603173,212050.38205629625,-30.73461545815297,129815183982.36684,0.15075066991116934
RL-AOS-GA,11,726.4455295955265,209122.6222977429,-50.77813703102454,124085391704.21674,0.16031820074932027
Static NSGA-II,0,717.8073622073592,201181.98753356544,-50.58280710678214,133901152097.05182,0.10702035405418457
Static NSGA-II,1,722.2896854396823,205263.91289562883,-35.74126332972582,134421917244.10854,0.10388990218560441
Static NSGA-II,2,723.1401544151513,206030.57724727027,-40.74059273088023,143057188403.3676,0.11852763579972271
Static NSGA-II,3,713.565479090476,197242.7991767435,-50.70720211038961,133399994356.70947,0.09719602964741403
Static NSGA-II,4,722.9224415724385,205873.69479095712,-60.75056760461761,106070949571.13574,0.2638750087780439
Static NSGA-II,5,714.4623044873014,198075.5453109066,-50.632562175324686,131085668829.49677,0.10423046693484282
Static NSGA-II,6,717.9633867383836,201327.41099588497,-40.635604635642125,144866879139.13324,0.03326439805829948
Static NSGA-II,7,718.405847055844,201686.55160261295,-50.61620304834055,137566462189.3124,0.1002086825714159
Static NSGA-II,8,727.445709970707,210027.93291142257,-40.67511982323233,130270181687.74593,0.12367278722795527
Static NSGA-II,9,722.1796565796535,205173.7877400192,-40.65187510822509,149947109362.5749,0.06860227590448391
Static NSGA-II,10,720.0746782246752,203267.7106547522,-40.62871787518038,146464024503.65,0.06999471934631483
Static NSGA-II,11,721.9027806777776,204917.0044132767,-40.70938717532468,152227781054.63074,0.06116704706290435
