mode,seed,best_hv
RL (No HV Reward),0,132835300349.53236
RL (No HV Reward),1,134554007870.54562
RL (No HV Reward),2,128771754092.37776
RL (No HV Reward),3,118250316249.55711
RL (No HV Reward),4,117023488183.6986
RL (No HV Reward),5,126554417356.97224
RL (No HV Reward),6,126479862503.9197
RL (No HV Reward),7,149347402918.51767
RL (No HV Reward),8,134172919562.90154
RL (No HV Reward),9,131660857153.93672
RL (No HV Reward),10,130215970598.78905
RL (No HV Reward),11,124085391704.21674
RL (Random Operator),0,149642762464.62103
RL (Random Operator),1,127103979186.91911
RL (Random Operator),2,116642274838.39088
RL (Random Operator),3,127260329258.2365
RL (Random Operator),4,130922512132.71776
RL (Random Operator),5,120749175972.48969
RL (Random Operator),6,111918773383.879
RL (Random Operator),7,99554292547.7526
RL (Random Operator),8,109172334502.41328
RL (Random Operator),9,103571463019.89348
RL (Random Operator),10,117843405589.29855
RL (Random Operator),11,141073175555.6489
RL-AOS-GA,0,106800135574.04063
RL-AOS-GA,1,132551516325.53612
RL-AOS-GA,2,150613924860.88464
RL-AOS-GA,3,84649929648.80489
RL-AOS-GA,4,106493939307.72594
RL-AOS-GA,5,141972858231.54422
RL-AOS-GA,6,135373724941.62756
RL-AOS-GA,7,138382811802.25504
RL-AOS-GA,8,137137436594.1102
RL-AOS-GA,9,131660857153.93672
RL-AOS-GA,10,129815183982.36684
RL-AOS-GA,11,124085391704.21674
Static NSGA-II,0,133901152097.05182
Static NSGA-II,1,134421917244.10854
Static NSGA-II,2,143057188403.3676
Static NSGA-II,3,133399994356.70947
Static NSGA-II,4,106070949571.13574
Static NSGA-II,5,131085668829.49677
Static NSGA-II,6,144866879139.13324
Static NSGA-II,7,137566462189.3124
Static NSGA-II,8,130270181687.74593
Static NSGA-II,9,149947109362.5749
Static NSGA-II,10,146464024503.65
Static NSGA-II,11,152227781054.63074
