mode,metric,n,mean,std,median,q25,q75,min,max
RL (No HV Reward),best_makespan,12,725.6518788018757,5.365420238114215,724.6172467672436,721.779900086147,727.803889985137,719.8086248336217,735.6379899129868
RL (Random Operator),best_makespan,12,732.4938250500721,5.712654108819621,731.5343643718613,728.8872684122654,735.8353203603173,724.9237041987011,744.2893246893216
RL-AOS-GA,best_makespan,12,726.085215141462,5.747928702942852,726.0898297398267,723.4812438812407,730.5187619187589,714.0010851510821,733.4951327701297
Static NSGA-II,best_makespan,12,720.1799572049541,3.9385834818859826,720.9887294512264,717.9243806056276,722.4478744728714,713.565479090476,727.445709970707
RL (No HV Reward),best_energy,12,208354.469194503,4927.577562250048,207388.1776770412,204799.49209237396,210358.56554402356,202980.35208437705,217519.79556440943
RL (Random Operator),best_energy,12,214656.19243679885,5256.223148204219,213766.10627152707,211348.18969581008,217724.9720310248,207699.8611241101,225498.63412946716
RL-AOS-GA,best_energy,12,208759.15318733008,5291.1931685781265,208780.14842082548,206365.2708959129,212851.4728787114,197603.9247916101,215557.66936480993
Static NSGA-II,best_energy,12,203339.0762727534,3621.5943693884788,204092.35753401445,201291.0551303051,205416.3583694609,197242.7991767435,210027.93291142257
RL (No HV Reward),best_reliability,12,-46.53656722582972,6.96883739046819,-48.13205251623378,-50.71220551046176,-40.710165498737375,-55.6918048701299,-35.83038425324676
RL (Random Operator),best_reliability,12,-45.73256582040645,5.638926522065875,-43.27675422979799,-50.73566004238816,-40.736200455447324,-55.71124467893217,-40.681880537518026
RL-AOS-GA,best_reliability,12,-46.9571934493747,10.259847723148505,-45.755106448412704,-50.754399977453104,-40.66923289592352,-70.73229042207792,-30.73461545815297
Static NSGA-II,best_reliability,12,-45.25599189363877,7.213272668464777,-40.72498995310245,-50.62029283008658,-40.64780749007935,-60.75056760461761,-35.74126332972582
RL (No HV Reward),best_hv,12,129495974045.41377,8460976040.59604,129493862345.5834,125881244803.99396,133169705152.87466,117023488183.6986,149347402918.51767
RL (Random Operator),best_hv,12,121287873204.35509,14808792489.574373,119296290780.89412,111232163663.51257,128175874976.85681,99554292547.7526,149642762464.62103
RL-AOS-GA,best_hv,12,126628142510.58746,18521791886.75648,132106186739.73642,119764077671.67271,137448780396.14642,84649929648.80489,150613924860.88464
Static NSGA-II,best_hv,12,136939942369.90974,12262362850.399405,135994189716.71048,132821412974.9063,145266165480.26242,106070949571.13574,152227781054.63074
RL (No HV Reward),igd,12,0.1393675519319105,0.0427797675676261,0.13407265484840009,0.1124486730766523,0.16498250931392455,0.0788428311997939,0.21954425941615438
RL (Random Operator),igd,12,0.20709372972070697,0.0669841752424595,0.20666248698152168,0.16882696943287573,0.24499319074434364,0.10804540816763979,0.3582633416227807
RL-AOS-GA,igd,12,0.16419431063365206,0.08441209885496748,0.1421324103606747,0.11237842296592347,0.18305070136358034,0.0788428311997939,0.3611979590048639
Static NSGA-II,igd,12,0.10430410896426552,0.05678858760371788,0.10204929237851015,0.0696466084858571,0.1098971744905691,0.03326439805829948,0.2638750087780439
