Generation,Best_Makespan,Best_Energy,Best_Reliability,Hypervolume
0,1835.5234516734486,1233302.357208017,-281.08259283549785,1471711242863.4878
1,1791.0609697109671,1192481.6695633351,-265.2346837590187,1794352128635.372
2,1732.6026363776334,1138639.336525795,-240.13050945887446,2213509811694.158
3,1725.060969710967,1131718.431176989,-285.9888706240983,2441294219609.143
4,1698.9007965507935,1107509.7522289946,-250.27896951659457,2511672707826.5283
5,1694.969699869697,1104002.6736814985,-269.8441253210677,2568634793703.7354
6,1642.4696998696966,1055743.8566614978,-274.834001154401,2631940696822.287
7,1642.4696998696966,1055743.8566614978,-274.834001154401,2647822261165.3843
8,1642.4696998696966,1055743.8566614978,-274.834001154401,2650903976518.666
9,1642.4696998696966,1055743.8566614978,-274.834001154401,2751063878321.3096
10,1626.8580476330442,1041045.2019060866,-249.81534798701293,2888022703690.909
11,1626.8580476330442,1041045.2019060866,-249.81534798701293,2976435025531.379
12,1624.6758687008655,1039202.3898701597,-284.85665083694073,2948483073164.2993
13,1596.8849235349207,1013909.6841893196,-249.42445694444444,3097956069981.652
14,1580.8270231020197,999114.9730514942,-249.39682531024533,3218114606008.0674
15,1580.8270231020197,999114.9730514942,-249.39682531024533,3253202513171.3345
16,1580.8270231020197,999114.9730514942,-249.39682531024533,3395818672833.4766
17,1576.775255425252,995087.6990265953,-249.58385981601725,3440508078869.4976
18,1576.775255425252,995087.6990265953,-249.58385981601725,3475146392184.2476
19,1576.775255425252,995087.6990265953,-249.58385981601725,3542331229149.049
20,1569.593076493073,988688.6725617218,-224.13323165584404,3588398006089.202
21,1558.736294386291,978702.1522177823,-224.44563657287154,3689946811762.8843
22,1549.593076493073,970235.5492490954,-244.20514475829722,3725119728826.976
23,1549.593076493073,970235.5492490954,-244.20514475829722,3765050823083.077
24,1549.593076493073,970235.5492490954,-244.20514475829722,3958696712147.502
25,1526.9356089606058,949335.565162732,-244.31057332972586,4029385768083.427
26,1510.307362207359,934115.3849899466,-228.68588257575752,4311038856250.0967
27,1510.307362207359,934115.3849899466,-228.68588257575752,4599736377372.36
28,1490.307362207359,915559.5024797843,-238.8735948160173,4776490596605.558
29,1490.307362207359,915559.5024797843,-238.8735948160173,4749052415063.141
30,1490.307362207359,915559.5024797843,-238.8735948160173,4800430302183.301
31,1490.307362207359,915559.5024797843,-238.8735948160173,4875251336854.382
32,1483.733949508946,909527.9512861515,-228.72756121572874,4938401333739.338
33,1483.733949508946,909527.9512861515,-228.72756121572874,4922292050508.224
34,1483.733949508946,909527.9512861515,-228.72756121572874,4949503510821.393
35,1475.244050519047,901879.96848477,-218.66634687590184,4997406445323.924
36,1470.1902987152957,897351.778973789,-198.64438703823953,5104949093489.828
37,1470.1902987152957,897351.778973789,-198.64438703823953,5165854873685.723
38,1470.1902987152957,897351.778973789,-198.64438703823953,5253598317274.126
39,1470.1902987152957,897337.0160713719,-193.70621999639246,5386569247332.635
40,1470.1902987152957,897337.0160713719,-193.70621999639246,5449027711779.185
41,1470.1902987152957,897337.0160713719,-193.70621999639246,5472838630457.51
42,1470.1902987152957,897337.0160713719,-193.70621999639246,5547321801280.532
43,1470.1902987152957,897337.0160713719,-193.70621999639246,5608697210685.313
44,1470.1902987152957,897337.0160713719,-193.70621999639246,5697928427943.702
45,1465.98575326075,893495.7999038826,-213.50591332972576,5761617369849.114
46,1450.1902987152957,878730.3669618842,-218.60087552308798,5735974500493.178
47,1450.1902987152957,878730.3669618842,-218.60087552308798,5729354547552.715
48,1444.2954574454543,873635.1279014188,-208.51092487012977,5760810245578.565
49,1444.2954574454543,873635.1279014188,-208.51092487012977,5771796414768.763
