Makespan,Energy,Reliability
916.7485598985572,384972.5186089517,-66.43772822150063
852.0580837080809,325363.9100092439,-91.1721129184704
845.8418138668111,319727.629906127,-106.14598652958155
851.7543319043291,325205.86189297395,-91.1961487265512
854.8495699995672,328030.26044376404,-81.20493027417022
849.1890360890332,322876.2934198029,-96.11619816017308
835.3728383978357,310090.078464785,-126.15459756493509
838.7678600428574,313144.1368610621,-111.11734594155845
853.4747503747475,326811.8031508275,-96.10022908369402
880.7819293069265,351893.5475821154,-81.2317515873015
870.624461774459,342567.2972242943,-86.16896805555548
865.4531053531027,337750.8275659468,-91.16822059884555
858.3517345017316,331309.43281356915,-91.19129098845593
856.2485598985572,329284.075040954,-91.19206843795092
850.6513376763348,324185.32369339967,-96.16917551226547
852.9628456128427,326325.0073122163,-96.14581232683976
840.7512655262627,314990.726233966,-121.16814503607505
843.9193751943726,317964.37523382914,-111.14800932178932
840.7512655262627,314995.7112656579,-121.09685018398271
839.7626291626265,314109.40427736804,-136.1288311471862
933.5937979937953,400538.31323742215,-81.38689517316011
972.6901183401158,436728.9649973862,-81.25189990620491
871.7103203603176,343582.5441081724,-86.17648622655116
871.7803059303033,343543.7041979958,-91.21610371572868
857.5876652376623,330603.6240536701,-96.13840198051946
854.1731630731601,327425.29310507345,-101.16738534992787
843.9193751943726,317976.1028535586,-116.10396348845602
843.9193751943726,317978.79172059323,-116.0904516919192
840.7512655262627,315004.8783645288,-121.12321169191921
867.0918138668111,339347.81786219124,-96.15479420995668
