Makespan,Energy,Reliability
871.9931486431458,343693.0228358744,-76.29474477272726
872.8511933761904,344505.1696412711,-76.29090409812407
860.0873044873017,332726.3822625952,-86.21366070346319
879.0555584555558,350239.92261067615,-71.30441925324673
863.9292958292931,336275.26482984994,-76.32465091630588
861.734129884127,334207.05187841045,-86.15500244949497
857.3073622073596,330184.46498443873,-91.19946173160176
862.1684733184704,334628.62402057124,-86.15374023809527
911.2564964064936,379894.8555392727,-71.13412585858582
848.5573622073595,322108.00615754473,-96.12225100649356
876.0146132896106,347449.05121647695,-76.2935472258297
891.7804863054835,361903.17605891905,-71.40080758297256
887.4476940976913,357976.62967313273,-76.24533004689754
894.3062799562774,364231.1614444641,-71.33515637085134
871.2658759158733,342993.49661170423,-81.25309256854257
868.4278528278502,340470.67200006644,-81.29085465728718
863.9292958292931,336314.448455723,-81.30109444805196
857.3073622073596,330218.42524015665,-96.05707967171726
863.1574704324677,335579.1507974942,-86.29474206349204
863.1574704324677,335578.84756630013,-91.25404034632034
857.1103925103897,329985.5313396839,-96.15459078282834
854.8921385421359,327971.4239619351,-106.15242003968261
855.6699163199137,328671.26848646975,-101.15692222222228
887.3921385421359,357886.1411660008,-81.22372451298703
854.8921385421359,327983.33511373523,-116.08835424603183
879.3326147326121,350455.6742700845,-86.1607376587302
868.734129884127,340682.1881346803,-86.20496214285717
859.5151544151518,332191.70098027925,-96.21239472222227
865.2339495089468,337499.5479771191,-91.14165422077926
865.0992092492065,337390.4407125375,-96.20521681096685
