Makespan,Energy,Reliability
855.1295122795095,328357.10537037667,-61.272793538960975
871.3437979937952,343341.4395255894,-61.26140909451652
884.7247503747478,355663.6267842549,-61.11663159812407
841.7187979937952,316079.4971697416,-66.04648141414141
831.8239567239539,306997.99967027915,-90.9740483621934
845.4390360890334,319505.29209784424,-65.99426387445885
834.1659480659453,309108.2777029523,-71.0163843578643
834.1659480659453,309093.0795053116,-76.01713165223659
887.4173910673883,358111.843238057,-61.22732961399704
845.3290072290046,319421.85119926557,-66.0514371753246
838.4747503747476,313081.86517619196,-71.02151769119767
834.459598859596,309345.75009847176,-71.0790594264069
848.4242453242426,322261.67846527207,-66.10654390692642
852.3005079505051,325755.72488608724,-66.061441053391
848.2934733184707,322090.84895532246,-71.00663829004326
850.0891082391055,323724.2466593124,-66.06938345238092
841.2813881813855,315616.6682594315,-71.04924695526695
838.8733795233768,313437.0671840203,-71.07853171717163
847.329728729726,321201.4606313397,-71.04485279220779
838.5640360890334,313150.0557000051,-80.9903797113997
838.5640360890334,313109.66331934853,-81.01193642857142
838.3896132896105,312980.6181854126,-96.07892924242425
891.1468282968256,361669.6862876313,-66.07356631673878
838.5640360890334,313151.84890000505,-85.98877971139973
838.5640360890334,313110.11916176556,-100.99172776695532
861.321070721068,334078.79910680884,-66.09588198773444
857.7604646604619,330838.46951269987,-71.03210999278498
843.1406955406926,317366.6474757841,-76.03790312409808
838.5640360890334,313150.503450741,-96.02855741702743
848.4242453242426,322215.84384381457,-71.05353098124094
