Generation,Best_Makespan,Best_Energy,Best_Reliability,Hypervolume
0,922.9696998696973,390651.8124867873,-151.41959069264058,165974686036.37784
1,917.7528889028861,385851.2596775808,-161.46183993867234,184856324897.87915
2,916.5290433040408,384748.7359405067,-136.4122376154401,195349030474.6907
3,904.9696998696973,374070.2123452757,-161.45680501803736,201172019898.66196
4,904.9696998696973,374070.2123452757,-161.45680501803736,202891918165.5057
5,904.9696998696973,374070.2123452757,-161.45680501803736,206766153515.88104
6,900.9615829865804,370440.9231880139,-151.41954984487728,212023165490.98145
7,898.747477647475,368365.8618729019,-146.47709400072148,218464852413.2413
8,890.9303780803752,361245.82010446745,-151.29365674242408,223682591553.61774
9,890.9303780803752,361245.82010446745,-151.29365674242408,235243203311.39767
10,890.9303780803752,361245.82010446745,-151.29365674242408,240491655565.62045
11,888.8064603314576,359264.16419848986,-141.31833076118315,247686416115.79318
12,888.8064603314576,359264.16419848986,-141.31833076118315,254084336505.414
13,881.2447720197694,352326.78787329874,-111.31514609307361,261024950978.48712
14,881.2447720197694,352326.78787329874,-111.31514609307361,267710202420.5212
15,877.6717200717171,349013.9264055893,-101.37146031746035,286957076527.27515
16,877.6717200717171,349013.9264055893,-101.37146031746035,302337938063.19214
17,866.3867272867246,338629.08482487174,-96.26227130230879,323616836257.6483
18,865.3584083834056,337696.2265060837,-91.24936138167386,346698632640.52747
19,865.3584083834056,337696.2265060837,-91.24936138167386,371766656998.0686
20,865.3584083834056,337696.2265060837,-91.24936138167386,400610599540.36456
21,860.5151544151518,333299.3753957663,-96.19799077200578,418785045843.14197
22,860.5151544151518,333299.3753957663,-96.19799077200578,416075455894.5997
23,859.0669220919193,331929.8409953946,-116.25939729437229,418062524120.2895
24,854.2994256994227,327587.2259684537,-96.21263982323231,430030294461.7245
25,854.2994256994227,327587.2259684537,-96.21263982323231,425270346056.7576
26,852.9954935204906,326423.4159921731,-91.22148013708508,421279183769.3317
27,852.9954935204906,326423.4159921731,-91.22148013708508,435708646558.1542
28,852.3140360890336,325799.41866648436,-91.22390546176045,432209948718.27734
29,852.3140360890336,325799.41866648436,-91.22390546176045,444799719467.4185
30,852.3140360890336,325799.41866648436,-91.22390546176045,450069638652.9395
31,852.3140360890336,325799.41866648436,-91.22390546176045,462573159452.70703
32,852.3140360890336,325799.41866648436,-91.22390546176045,465144688784.9428
33,852.3140360890336,325799.41866648436,-91.22390546176045,473067415934.2231
34,852.2703852953824,325742.35784534767,-81.17652313131313,478185764970.97095
35,852.2703852953824,325742.35784534767,-81.17652313131313,479272680445.2092
36,849.5970447470421,323380.5399007519,-81.08352672438673,493958828187.2948
37,847.732686882684,321600.2411484321,-81.07368590909093,499242515994.25903
38,845.8174632174603,319865.6446574328,-91.13511240981244,507139511471.81915
39,845.8174632174603,319865.6446574328,-91.13511240981244,510625688693.87506
40,845.8174632174603,319865.6446574328,-91.13511240981244,501050921977.77057
41,841.1773117023088,315600.8773468123,-91.03984967532469,497087360722.82825
42,841.1773117023088,315600.8773468123,-91.03984967532469,500849351134.9656
43,838.5640360890334,313151.84890000505,-85.98877971139973,502805176661.34955
44,838.5640360890334,313150.0557000051,-80.9903797113997,508506259846.356
45,838.5640360890334,313150.0557000051,-80.9903797113997,515232395574.4489
46,838.4747503747476,313081.86517619196,-71.02151769119767,519402269733.50415
47,838.4747503747476,313081.86517619196,-71.02151769119767,517479200879.7514
48,831.8239567239539,306997.99967027915,-90.9740483621934,535494281138.5447
49,831.8239567239539,306997.99967027915,-90.9740483621934,547127604292.4808
