Generation,Best_Makespan,Best_Energy,Best_Reliability,Action,Reward,State_Div,State_Imp,State_HV,Hypervolume
0,1760.0873044873017,1163877.56812415,-209.6065918975468,Balanced,11.055916305915844,High,Fast,Flat,1577446641029.6357
1,1730.087304487302,1136160.766492635,-219.64148583694075,Exploit,34.99999999999977,High,Slow,Flat,2203657307830.341
2,1697.62013277013,1106350.3986819894,-179.5989591919192,Balanced,37.46717171717182,High,Fast,Flat,3048427518516.413
3,1693.1457460457432,1102216.3127857842,-194.6668338131312,Explore,9.474386724386932,High,Fast,Flat,3138842717944.7837
4,1648.6489927989896,1061261.6123716172,-204.49169749278488,Exploit,49.49675324675354,High,Slow,Flat,3521493320639.266
5,1648.6489927989896,1061261.6123716172,-204.49169749278488,Balanced,-1.0,High,Fast,Flat,3593710617948.6484
6,1646.6313160313134,1059545.609357765,-199.64367958874445,Balanced,7.017676767676221,High,Stagnant,Flat,3734381368651.949
7,1646.6313160313134,1059545.609357765,-199.64367958874445,Explore,-1.0,High,Slow,Flat,3744715028414.99
8,1617.2204213704183,1032164.4198504665,-199.18881047258296,Balanced,34.41089466089511,High,Stagnant,Flat,3955271879879.5596
9,1613.5108254108225,1028995.803867606,-214.5319355555554,Balanced,8.709595959595845,High,Fast,Flat,4001882952569.934
10,1589.9256883256858,1006978.4615820037,-219.35612865079364,Exploit,28.585137085136694,High,Slow,Flat,4107355760345.246
11,1578.6489927989896,996912.1758124578,-234.26974157647905,Balanced,16.27669552669613,High,Fast,Flat,4067527248964.373
12,1578.6489927989896,996912.1758124578,-234.26974157647905,Explore,-1.0,High,Slow,Flat,4061884392774.4927
13,1578.6489927989896,996912.1758124578,-234.26974157647905,Explore,-1.0,High,Stagnant,Flat,4072670812021.1294
14,1572.9523838523808,991783.4639709282,-198.96869355339103,Balanced,10.696608946608876,High,Stagnant,Flat,4126282401639.289
15,1572.9523838523808,991706.2005653329,-198.94858581529581,Exploit,-1.0,High,Slow,Flat,4221887631957.469
16,1572.9523838523808,991706.2005653329,-198.94858581529581,Explore,-1.0,High,Stagnant,Flat,4244200215799.0845
17,1563.4395772145742,983003.2667642906,-194.22463930014422,Balanced,14.512806637806534,High,Stagnant,Flat,4365479137868.7603
18,1563.4395772145742,983003.2667642906,-194.22463930014422,Exploit,-1.0,High,Slow,Flat,4628943463335.835
19,1532.735212135209,954624.1021006937,-223.7471739646464,Balanced,35.70436507936529,High,Stagnant,Flat,4666805603570.416
20,1532.735212135209,954624.1021006937,-223.7471739646464,Balanced,-1.0,High,Fast,Flat,4725220220114.464
21,1532.735212135209,954624.1021006937,-223.7471739646464,Explore,-1.0,High,Stagnant,Flat,4725220220114.465
22,1525.6158037658006,948100.4468855025,-193.917326576479,Balanced,12.119408369408347,High,Stagnant,Flat,4780500685403.488
23,1525.6158037658006,948100.4468855025,-193.917326576479,Exploit,-1.0,High,Slow,Flat,4845241692480.538
24,1525.6158037658006,948100.4468855025,-193.917326576479,Balanced,-1.0,High,Stagnant,Flat,4876142769167.145
25,1525.6158037658006,948100.4468855025,-193.917326576479,Exploit,-1.0,High,Stagnant,Flat,4981835865397.02
26,1525.6158037658006,948100.4468855025,-193.917326576479,Balanced,-1.0,High,Stagnant,Flat,5030122346890.224
27,1525.6158037658006,948100.4468855025,-193.917326576479,Balanced,-1.0,High,Stagnant,Flat,5058255202601.161
28,1515.6158037658006,938894.8555827463,-203.86069288239534,Balanced,15.0,High,Stagnant,Flat,5171430363713.664
29,1510.571431471428,934435.1935604085,-193.9794571789321,Exploit,10.044372294372579,High,Slow,Flat,5352134914583.938
30,1510.571431471428,934435.1935604085,-193.9794571789321,Explore,-1.0,High,Slow,Flat,5352134914583.938
