mode,seed,igd
RL (No HV Reward),0,0.2048896043583328
RL (No HV Reward),1,0.24946331264763355
RL (No HV Reward),2,0.14591846448962237
RL (No HV Reward),3,0.18762677972491323
RL (No HV Reward),4,0.32533875091035763
RL (No HV Reward),5,0.1423372343704556
RL (No HV Reward),6,0.2929491380745601
RL (No HV Reward),7,0.12559227941203996
RL (No HV Reward),8,0.32729717791657154
RL (No HV Reward),9,0.19736994174215128
RL (No HV Reward),10,0.31370369736341785
RL (No HV Reward),11,0.1702311543022969
RL (Random Operator),0,0.24904844025023018
RL (Random Operator),1,0.3508743873534415
RL (Random Operator),2,0.2957442338822613
RL (Random Operator),3,0.24214196957110637
RL (Random Operator),4,0.24844209777412882
RL (Random Operator),5,0.26700564927272125
RL (Random Operator),6,0.23634753399380276
RL (Random Operator),7,0.3845960990869233
RL (Random Operator),8,0.3201996447685015
RL (Random Operator),9,0.16516530257951742
RL (Random Operator),10,0.21754670807316323
RL (Random Operator),11,0.23654269080048843
RL-AOS-GA,0,0.11773606430163393
RL-AOS-GA,1,0.2485435527471536
RL-AOS-GA,2,0.21844493776202165
RL-AOS-GA,3,0.17381171101457532
RL-AOS-GA,4,0.21044529675936535
RL-AOS-GA,5,0.1541865676414978
RL-AOS-GA,6,0.25464682726107485
RL-AOS-GA,7,0.2502499050209308
RL-AOS-GA,8,0.32729717791657154
RL-AOS-GA,9,0.07446348507621285
RL-AOS-GA,10,0.32192064481956617
RL-AOS-GA,11,0.1444951931118257
Static NSGA-II,0,0.2294443114917015
Static NSGA-II,1,0.026860401440752624
Static NSGA-II,2,0.07621165570570117
Static NSGA-II,3,0.016821114539331918
Static NSGA-II,4,0.1278712023658646
Static NSGA-II,5,0.17957191832499722
Static NSGA-II,6,0.08261828962732652
Static NSGA-II,7,0.22377953240845586
Static NSGA-II,8,0.22123164470247808
Static NSGA-II,9,0.23833833211077995
Static NSGA-II,10,0.1353530421342107
Static NSGA-II,11,0.17920011688739515
