mode,seed,elapsed_s,generations,pop_size,instance
RL (No HV Reward),0,49.21708537499944,50,30,ta03
RL (No HV Reward),1,49.08975766599906,50,30,ta03
RL (No HV Reward),2,49.04914775000361,50,30,ta03
RL (No HV Reward),3,49.024817624995194,50,30,ta03
RL (No HV Reward),4,49.170784832997015,50,30,ta03
RL (No HV Reward),5,49.06205137499637,50,30,ta03
RL (No HV Reward),6,49.089791958002024,50,30,ta03
RL (No HV Reward),7,49.167449583001144,50,30,ta03
RL (No HV Reward),8,49.51057425000181,50,30,ta03
RL (No HV Reward),9,49.43713008300256,50,30,ta03
RL (No HV Reward),10,49.51149270799942,50,30,ta03
RL (No HV Reward),11,49.34678645799431,50,30,ta03
RL (Random Operator),0,49.39913554100349,50,30,ta03
RL (Random Operator),1,49.321800416997576,50,30,ta03
RL (Random Operator),2,49.275530457998684,50,30,ta03
RL (Random Operator),3,49.27165029099706,50,30,ta03
RL (Random Operator),4,49.32294483300211,50,30,ta03
RL (Random Operator),5,49.260423833999084,50,30,ta03
RL (Random Operator),6,48.889597417000914,50,30,ta03
RL (Random Operator),7,50.46639354200306,50,30,ta03
RL (Random Operator),8,51.29170412500389,50,30,ta03
RL (Random Operator),9,50.24030570899777,50,30,ta03
RL (Random Operator),10,49.298897583001235,50,30,ta03
RL (Random Operator),11,49.186156625000876,50,30,ta03
RL-AOS-GA,0,49.30043991599814,50,30,ta03
RL-AOS-GA,1,49.541697874999954,50,30,ta03
RL-AOS-GA,2,49.3712788749981,50,30,ta03
RL-AOS-GA,3,49.22598554199794,50,30,ta03
RL-AOS-GA,4,49.413391000001866,50,30,ta03
RL-AOS-GA,5,49.41804775000492,50,30,ta03
RL-AOS-GA,6,49.39568316700024,50,30,ta03
RL-AOS-GA,7,49.35216654100077,50,30,ta03
RL-AOS-GA,8,49.405091749998974,50,30,ta03
RL-AOS-GA,9,49.205124874999456,50,30,ta03
RL-AOS-GA,10,49.29667591700127,50,30,ta03
RL-AOS-GA,11,49.265493667000555,50,30,ta03
Static NSGA-II,0,49.199002749999636,50,30,ta03
Static NSGA-II,1,49.293796459001896,50,30,ta03
Static NSGA-II,2,49.33818441600306,50,30,ta03
Static NSGA-II,3,49.47669154200412,50,30,ta03
Static NSGA-II,4,49.41210687500279,50,30,ta03
Static NSGA-II,5,49.32047908300592,50,30,ta03
Static NSGA-II,6,49.33014529199863,50,30,ta03
Static NSGA-II,7,49.21532275000209,50,30,ta03
Static NSGA-II,8,49.182045708999794,50,30,ta03
Static NSGA-II,9,50.87290699999721,50,30,ta03
Static NSGA-II,10,50.29383337499894,50,30,ta03
Static NSGA-II,11,49.28400500000134,50,30,ta03
