mode,metric,n,mean,std,median,q25,q75,min,max
RL (No HV Reward),best_makespan,12,1476.7893547518513,35.655069281272525,1479.3293679793646,1458.9863394800864,1499.6942669692635,1409.0185815435784,1529.6307749057717
RL (Random Operator),best_makespan,12,1489.4025552088021,27.641911763591164,1483.9378636503602,1469.1029520341986,1508.3944834194804,1453.443184718181,1535.321792221789
RL-AOS-GA,best_makespan,12,1475.0801195426163,32.8058655843472,1465.341002178499,1453.9246962621933,1505.4258687008655,1425.981965381962,1520.3928600428565
Static NSGA-II,best_makespan,12,1430.23415995499,33.00830253473056,1435.0053239678205,1407.5161915724384,1449.9437258687226,1371.026157301154,1478.0286825536791
RL (No HV Reward),best_energy,12,903442.2347716562,32690.788932785348,905636.1030970858,886951.9700309597,924661.2192072951,841290.7196244528,951861.6761157694
RL (Random Operator),best_energy,12,914974.9182590273,25406.57063037219,910036.4829822644,896148.8063775866,932337.05485363,882007.714095939,957195.2962743049
RL-AOS-GA,best_energy,12,901895.7670930028,30148.36999798602,893036.380025526,882554.8835295511,929680.5659081675,856551.066012948,943575.659877075
Static NSGA-II,best_energy,12,860643.5095695709,30271.34786906737,865235.505535221,839843.1582452959,878562.6901957458,806362.7963825117,904589.4211171112
RL (No HV Reward),best_reliability,12,-158.6990143073593,7.638070146902354,-159.27371255772005,-164.04602534451652,-153.96248090909089,-169.20319965367966,-143.74798723304474
RL (Random Operator),best_reliability,12,-168.13992017706826,14.383650199999515,-166.74845933441554,-175.62222910443717,-162.94337735660167,-194.34149453823952,-139.71729836219333
RL-AOS-GA,best_reliability,12,-158.72068677759742,9.99002797843885,-156.42507899891768,-165.58813708874467,-152.40822120851374,-174.5865336904762,-143.8545398917749
Static NSGA-II,best_reliability,12,-155.16427514430012,11.799697121178063,-156.2536837211399,-163.65746327922074,-150.86997598304475,-174.10279785714283,-133.50601730519483
RL (No HV Reward),best_hv,12,5716545301738.465,689127612080.9458,5814287587350.918,5154930191935.072,6264650984907.639,4644219309168.094,6716203187785.019
RL (Random Operator),best_hv,12,5199887556903.534,729854147526.0345,5439265047942.822,4738765614398.382,5759557444122.029,3638352540856.565,5897550025061.028
RL-AOS-GA,best_hv,12,5843415311220.179,796630612527.7286,5804579063349.32,5439697547144.504,6401255140720.213,4518894007600.513,7061946099157.964
Static NSGA-II,best_hv,12,6460402368062.228,803937698115.6631,6245115574136.889,5742767707464.789,7195572341341.775,5574749526931.296,7841544750519.701
RL (No HV Reward),igd,12,0.2235597946093627,0.07515119389333785,0.20112977305024204,0.16415298184912827,0.29813777789677454,0.12559227941203996,0.32729717791657154
RL (Random Operator),igd,12,0.26780456311719053,0.060663117202439144,0.2487452690121795,0.236493901598817,0.30185808660382135,0.16516530257951742,0.3845960990869233
RL-AOS-GA,igd,12,0.20802011361936912,0.0780481937174583,0.21444511726069349,0.15176372400907978,0.25134913558096683,0.07446348507621285,0.32729717791657154
Static NSGA-II,igd,12,0.14477513014491625,0.0795562626123724,0.15727657951080293,0.08101663114692018,0.22186861662897253,0.016821114539331918,0.23833833211077995
