mode,seed,best_makespan,best_energy,best_reliability,best_hv,igd
RL (No HV Reward),0,1463.5099235349203,891042.0101372486,-163.99077352092343,5765559052215.477,0.2048896043583328
RL (No HV Reward),1,1481.150796550793,907324.084208648,-169.14985146825393,5768393695387.832,0.24946331264763355
RL (No HV Reward),2,1431.0476219476186,861761.7118597196,-154.03287435786433,6403007723958.236,0.14591846448962237
RL (No HV Reward),3,1477.507939407936,903948.1219855238,-159.5014920923521,5860181479314.005,0.18762677972491323
RL (No HV Reward),4,1505.132037532034,929495.4865213428,-159.18187438672442,4751621144134.223,0.32533875091035763
RL (No HV Reward),5,1409.0185815435784,841290.7196244528,-143.74798723304474,6344253049068.702,0.1423372343704556
RL (No HV Reward),6,1496.9316407066367,922064.353615776,-164.21178081529575,5244669370946.23,0.2929491380745601
RL (No HV Reward),7,1467.6035382535351,894860.1075298642,-153.75130056277055,6716203187785.019,0.12559227941203996
RL (No HV Reward),8,1516.6421385421352,939926.899180156,-169.20319965367966,4644219309168.094,0.32729717791657154
RL (No HV Reward),9,1497.8816767816731,923049.7967692792,-149.08326875180376,5976605990461.538,0.19736994174215128
RL (No HV Reward),10,1529.6307749057717,951861.6761157694,-159.36555072871568,4885712654901.599,0.31370369736341785
RL (No HV Reward),11,1445.4155873155842,874681.8497120934,-159.16821811688314,6238116963520.618,0.1702311543022969
RL (Random Operator),0,1472.3015902015868,899062.7529126956,-168.93716085858583,5768538720355.196,0.24904844025023018
RL (Random Operator),1,1459.0054141554108,887073.7667634749,-194.34149453823952,3638352540856.565,0.3508743873534415
RL (Random Operator),2,1535.321792221789,957195.2962743049,-164.55975781024526,4599135047005.751,0.2957442338822613
RL (Random Operator),3,1480.5941587441553,907014.820398756,-164.24062680375172,5485242754854.562,0.24214196957110637
RL (Random Operator),4,1487.2815685565652,913058.1455657728,-164.10229540764783,5633311587322.503,0.24844209777412882
RL (Random Operator),5,1507.3374848624817,931392.7967230204,-169.10106447330446,5393287341031.082,0.26700564927272125
RL (Random Operator),6,1453.443184718181,882007.714095939,-154.0199701298701,5756563685377.64,0.23634753399380276
RL (Random Operator),7,1530.1612583112549,952491.7777086984,-180.89848467532468,4203138339854.222,0.3845960990869233
RL (Random Operator),8,1511.565479090476,935169.8292454592,-184.4307886147186,4785309136862.592,0.3201996447685015
RL (Random Operator),9,1501.0725137225106,925853.7203407406,-139.71729836219333,5897550025061.028,0.16516530257951742
RL (Random Operator),10,1475.2391803891774,901971.4323072052,-159.46662320346317,5860677909532.028,0.21754670807316323
RL (Random Operator),11,1459.5070375320342,887406.9667722593,-173.86347724747466,5377543594729.234,0.23654269080048843
RL-AOS-GA,0,1451.737737387734,880399.6956401704,-153.41098293290045,6753927350053.673,0.11773606430163393
RL-AOS-GA,1,1520.3928600428565,943575.659877075,-154.53831997113994,5486840520790.144,0.2485435527471536
RL-AOS-GA,2,1460.200580100577,888073.9949175447,-174.5865336904762,5642460005585.05,0.21844493776202165
RL-AOS-GA,3,1434.4713232463196,864426.2521912018,-153.97003328643575,6328212237806.087,0.17381171101457532
RL-AOS-GA,4,1470.4814242564207,897998.7651335073,-149.39993603535362,5966698121113.591,0.21044529675936535
RL-AOS-GA,5,1454.6536825536796,883273.279492678,-158.3118380266954,6376568179317.115,0.1541865676414978
RL-AOS-GA,6,1497.859310259307,922933.143839431,-159.84930926767672,5298268626207.587,0.25464682726107485
RL-AOS-GA,7,1504.7741731741698,929090.7973232478,-164.38311623376634,5567633252912.817,0.2502499050209308
RL-AOS-GA,8,1516.6421385421352,939926.899180156,-169.20319965367966,4644219309168.094,0.32729717791657154
RL-AOS-GA,9,1425.981965381962,856551.066012948,-143.8545398917749,7061946099157.964,0.07446348507621285
RL-AOS-GA,10,1507.380955280952,931449.8716629266,-174.02659631313136,4518894007600.513,0.32192064481956617
RL-AOS-GA,11,1456.3852842852812,885049.779845149,-149.11383602813856,6475316024929.504,0.1444951931118257
Static NSGA-II,0,1444.2954574454543,873635.1279014188,-165.3251616955267,5771796414768.763,0.2294443114917015
Static NSGA-II,1,1395.0523117023083,828049.3712808453,-143.14788173520918,7841544750519.701,0.026860401440752624
Static NSGA-II,2,1411.670818195815,843774.4205667794,-153.55768787157285,7193069519523.199,0.07621165570570117
Static NSGA-II,3,1371.026157301154,806362.7963825117,-133.50601730519483,7598011887795.524,0.016821114539331918
Static NSGA-II,4,1425.7853564353536,856218.913960409,-158.44397115800857,6456592434119.23,0.1278712023658646
Static NSGA-II,5,1461.7619077619042,889748.4024887378,-154.06339628427125,6094273894424.954,0.17957191832499722
Static NSGA-II,6,1435.593076493073,865872.8544611481,-138.82641026695535,7203080806797.504,0.08261828962732652
Static NSGA-II,7,1390.182181832179,824139.434609698,-174.10279785714283,5645796448039.922,0.22377953240845586
Static NSGA-II,8,1434.417571442568,864598.1566092938,-163.54470066738813,5655681585552.87,0.22123164470247808
Static NSGA-II,9,1478.0286825536791,904589.4211171112,-163.99575111471862,5574749526931.296,0.23833833211077995
Static NSGA-II,10,1446.0043319043289,874834.1194314151,-153.44400739898995,6352150825414.274,0.1353530421342107
Static NSGA-II,11,1468.9920663920634,895899.0960254811,-160.01351837662338,6138080322859.502,0.17920011688739515
