Generation,Best_Makespan,Best_Energy,Best_Reliability,Action,Reward,State_Div,State_Imp,State_HV,Hypervolume
0,772.2806666806637,251295.48602794486,-115.91150041486287,Balanced,12.674603174603135,High,Fast,Flat,48328287081.76416
1,770.9127013126982,250000.95644807472,-90.84584375901876,Balanced,6.367965367965439,High,Slow,Flat,49676314875.90406
2,765.1477301727272,244696.42408649833,-155.81137891414136,Balanced,10.764971139971067,High,Slow,Flat,54109393094.4058
3,765.1477301727272,244696.42408649833,-155.81137891414136,Explore,-1.0,High,Slow,Flat,56413743981.68344
4,765.1477301727272,244696.42408649833,-155.81137891414136,Balanced,-1.0,High,Stagnant,Flat,63805695761.93572
5,765.1477301727272,244696.42408649833,-155.81137891414136,Explore,-1.0,High,Stagnant,Flat,66741686452.14418
6,765.1477301727272,244696.42408649833,-155.81137891414136,Exploit,-1.0,High,Stagnant,Flat,75105696481.46188
7,761.5079394079364,241342.09446585615,-75.82484803391053,Balanced,8.639790764790746,High,Stagnant,Flat,78295667043.34813
8,758.3640000139969,238445.95362939505,-70.84596215728718,Balanced,8.14393939393949,High,Slow,Flat,83891890949.58029
9,758.3640000139969,238445.95362939505,-70.84596215728718,Balanced,-1.0,High,Slow,Flat,88355516013.18182
10,755.4206378206347,235697.54139138275,-75.8294043831169,Exploit,7.943362193362191,High,Stagnant,Flat,95395943035.51443
11,755.4206378206347,235697.54139138275,-75.8294043831169,Balanced,-1.0,High,Slow,Flat,100674084164.85358
12,753.9722251222221,234413.23950556395,-85.84348060966813,Exploit,6.448412698412653,High,Stagnant,Flat,102277419493.79376
13,753.9722251222221,234413.23950556395,-85.84348060966813,Balanced,-1.0,High,Slow,Flat,102982937148.68805
14,753.9722251222221,234406.62217166784,-85.85647173520925,Exploit,-1.0,High,Stagnant,Flat,100753768748.43724
15,753.9722251222221,234406.59238381073,-80.84629316378069,Exploit,-1.0,High,Stagnant,Flat,102536702527.36885
16,751.0555584555555,231722.42254111226,-85.84803145743147,Exploit,7.916666666666629,High,Stagnant,Flat,102381380067.05745
17,748.9870158870128,229817.89258553504,-85.83687074314577,Exploit,7.068542568542625,High,Slow,Flat,104260969231.35466
18,748.9870158870128,229816.41720839217,-85.81632312409816,Balanced,-1.0,High,Slow,Flat,104957250205.64581
